number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,city,zip code,cost rank
4,2.5,2550,1290,1,1964,Bellevue,WA 98007,3
4,2.5,3040,3040,2,1999,Sammamish,WA 98074,3
4,3,2400,1200,1,1964,Seattle,WA 98107,3
4,2.5,2670,2670,2,1989,Issaquah,WA 98029,3
4,2.5,2760,1680,1.5,1928,Seattle,WA 98107,4
3,2.5,2620,2620,2,1992,Bellevue,WA 98006,4
4,2.5,2980,2890,2,2000,Bellevue,WA 98006,4
4,2.5,3110,3110,2,2004,Redmond,WA 98052,4
3,1.75,1720,1720,1,1954,Seattle,WA 98122,4
4,3.25,3680,2840,2,2003,Issaquah,WA 98027,4
4,2.75,2600,1620,1.5,1936,Seattle,WA 98109,4
4,1.75,2350,2350,1,1961,Mercer Island,WA 98040,4
3,3.25,2170,1650,1.5,1928,Mercer Island,WA 98040,4
4,2.5,2830,2830,2,1995,Seattle,WA 98105,4
4,3.25,4700,3420,2,1978,Bellevue,WA 98005,4
3,2,2700,1350,1,1962,Seattle,WA 98115,4
4,2.75,3300,3300,2,1953,Clyde Hill,WA 98004,4
4,2.25,3290,3290,1.5,1968,Mercer Island,WA 98040,4
3,2.75,2980,2180,1.5,1917,Burien,WA 98166,4
5,3,4530,3200,1.5,2003,Woodinville,WA 98077,4
3,2.5,2920,1800,1,1954,Seattle,WA 98116,4
4,3.25,3270,3110,2,2014,Redmond,WA 98052,4
4,3.75,3280,2320,2,2008,Kirkland,WA 98033,4
4,4.5,5420,3890,1,2001,Redmond,WA 98053,4
4,2.25,3070,1870,1,1976,Mercer Island,WA 98040,4
4,3.75,3490,3490,2,2012,Bellevue,WA 98004,4
4,3.5,3460,2560,2,2004,Seattle,WA 98103,4
5,1.75,3380,1690,1,1963,Clyde Hill,WA 98004,4
2,1,790,790,1,1973,Kirkland,WA 98034,1
2,1,910,910,1,1943,Seattle,WA 98118,1
4,1.5,1950,1950,1.5,1939,SeaTac,WA 98188,1
3,1,1660,1100,1,1963,Auburn,WA 98001,1
3,1.5,1250,1250,1,1967,Kent,WA 98030,1
3,1,1040,1040,1,1947,Seattle,WA 98168,1
2,0.75,650,650,1,1931,Seattle,WA 98133,1
3,1,1900,1900,1.5,1942,Auburn,WA 98001,1
5,1.75,2020,1220,1,1962,Seattle,WA 98168,1
4,2.25,2510,1610,1,1972,Federal Way,WA 98023,1
3,1,1090,1090,1,1973,Burien,WA 98166,1
3,2.25,1490,1170,1,1987,Duvall,WA 98019,1
3,2.5,1950,1950,2,1990,Auburn,WA 98001,1
3,1,1090,1090,1,1981,Renton,WA 98056,1
3,1,1390,1390,1,1968,Woodinville,WA 98077,2
3,2,1350,1350,1,1989,Duvall,WA 98019,2
3,2.5,1450,840,1,2007,Seattle,WA 98106,2
3,1.75,1090,1090,1,1968,Kirkland,WA 98034,2
3,2.5,2010,2010,2,1977,Vashon,WA 98070,2
3,1.75,1650,1060,1,1951,Shoreline,WA 98155,2
5,2.5,3001,3001,2,2006,Kent,WA 98030,2
3,1,1190,1190,1,1953,Normandy Park,WA 98166,2
3,2,1480,740,1,1943,Seattle,WA 98146,2
4,1.75,2180,1090,1,1956,Lake Forest Park,WA 98155,2
4,1,1410,810,1,1925,Seattle,WA 98126,2
3,1.75,1960,980,1,1911,Seattle,WA 98108,2
4,2.25,2140,2140,2,2002,Snoqualmie,WA 98065,2
3,2,1770,960,1,1954,Shoreline,WA 98133,2
3,2.25,2450,2450,1,1978,Covington,WA 98042,2
3,2.75,1250,1040,2,2010,Seattle,WA 98116,2
4,2.5,3360,3360,2,2001,Renton,WA 98058,2
3,2.25,2350,1390,1,1977,Kenmore,WA 98028,2
5,2.5,3400,1700,1,1959,Shoreline,WA 98133,2
4,2.5,3740,2260,1,2004,Renton,WA 98058,2
5,4.75,3830,2130,1,1976,Woodinville,WA 98077,2
4,2.5,2040,2040,2,2012,Kenmore,WA 98028,3
4,2.5,2790,2790,2,2009,Renton,WA 98059,3
3,3.5,2876,2360,2,2007,Woodinville,WA 98072,3
5,3,2450,2450,2,1994,Seattle,WA 98117,3
3,2.5,1580,1010,2,2008,Seattle,WA 98112,3
3,1.75,1690,1690,1,1958,Bellevue,WA 98005,3
2,2,1680,1680,1,2006,Redmond,WA 98053,3
7,4,3440,3440,2,1970,Seattle,WA 98103,3
4,2,2250,1200,1,1956,Bellevue,WA 98005,3
3,2.5,1490,1490,3,2004,Seattle,WA 98125,3
3,1,1440,1440,2,1910,Seattle,WA 98103,3
3,2,1530,1530,1,1937,Seattle,WA 98115,3
3,1.75,1580,1180,1,1951,Seattle,WA 98118,3
5,2,2290,1190,1,1964,Bellevue,WA 98008,3
4,1.75,2090,1070,1,1963,Redmond,WA 98052,3
4,2.25,2710,2710,2,1977,Woodinville,WA 98077,3
3,1.75,1680,870,1,1922,Seattle,WA 98122,3
3,1,1710,1710,1.5,1909,Seattle,WA 98103,3
3,3.5,1810,1440,2,2009,Seattle,WA 98122,3
4,2,2260,1430,1,1958,Seattle,WA 98115,3
4,1.75,1950,1370,1,1969,Bellevue,WA 98007,3
3,2.5,1740,1740,2,1975,Bellevue,WA 98008,3
4,2.5,2210,2210,2,2013,Seattle,WA 98117,3
4,2.5,2740,2740,2,1993,Sammamish,WA 98074,3
4,3.5,3400,3400,2,2012,Snoqualmie,WA 98065,3
3,2,1940,1150,1.5,1944,Seattle,WA 98107,3
5,3,3410,1870,1,1968,Redmond,WA 98052,3
4,2.5,3000,3000,2,2006,Newcastle,WA 98056,3
3,2.5,2030,2030,2,1975,Bellevue,WA 98008,4
3,3.25,3190,3190,2,2007,Issaquah,WA 98029,4
3,3.25,3610,2440,2,2003,Issaquah,WA 98027,4
3,1.75,2340,2340,1,1967,Mercer Island,WA 98040,4
6,3,2890,2290,2.5,1906,Seattle,WA 98102,4
5,2.75,3150,3150,2,2013,Redmond,WA 98052,4
4,2.5,3560,2290,1,1986,Bellevue,WA 98004,4
4,2.5,3520,2650,2.5,2006,Seattle,WA 98136,4
4,2.5,3490,3490,2,2000,Bellevue,WA 98006,4
4,3.25,4400,4400,2,2003,Sammamish,WA 98075,4
5,4.25,3530,3530,2,2001,Mercer Island,WA 98040,4
5,3.25,4860,3820,2,1989,Mercer Island,WA 98040,4
3,1,1100,1100,1,1978,Auburn,WA 98001,1
2,1,700,700,1,1952,Renton,WA 98056,1
3,1,860,860,1,1963,Kent,WA 98030,1
2,1,1170,1170,1,1911,Des Moines,WA 98198,1
2,1,1240,1240,1,1967,Tukwila,WA 98168,1
3,1.75,1340,1340,1,1973,Auburn,WA 98002,1
4,2,1630,1050,1,1975,Auburn,WA 98092,1
4,2.5,2230,2230,2,2006,Covington,WA 98042,1
3,2,1850,1150,1,1952,Auburn,WA 98002,1
3,2,1570,1570,1,1998,Auburn,WA 98092,1
3,2.5,1780,1400,1,1986,Kent,WA 98030,1
2,1,700,700,1,1949,Shoreline,WA 98155,1
3,1,1260,1260,1,1946,Seattle,WA 98115,2
3,1.75,2110,2110,2,1966,Renton,WA 98059,2
3,1.5,1220,1220,3,2007,Seattle,WA 98133,2
3,1,1480,1480,1,1952,Shoreline,WA 98133,2
3,1,1050,1050,1,1953,Kenmore,WA 98028,2
4,2.5,2010,2010,2,1995,Auburn,WA 98092,2
3,2.5,1840,1840,2,2012,Maple Valley,WA 98038,2
3,2.5,2220,2220,2,1990,Kent,WA 98031,2
5,2,1700,1000,1,1956,Seattle,WA 98108,2
3,1,1050,1050,1.5,1906,Seattle,WA 98144,2
3,2.25,1970,1970,2,1997,Renton,WA 98056,2
3,2.25,2120,2120,2,1984,Renton,WA 98059,2
5,3,2257,1363,1,2005,SeaTac,WA 98188,2
3,3.5,2100,2100,2,1980,Tukwila,WA 98168,2
4,1.75,2010,1340,1,1957,Shoreline,WA 98133,2
3,1,1290,980,1,1951,Seattle,WA 98136,2
3,2.5,1690,1150,2,2014,Issaquah,WA 98029,2
4,1.75,1620,860,1,1947,Seattle,WA 98133,2
4,2.5,3040,3040,2,1999,Auburn,WA 98092,2
3,2.75,2580,2580,2,2008,Renton,WA 98059,2
3,2.5,2910,2910,2,1989,Federal Way,WA 98003,2
3,1,1660,1060,1,1940,Seattle,WA 98125,2
4,2.5,2310,2310,2,1991,Duvall,WA 98019,2
4,2.5,2150,1420,1,1978,Fall City,WA 98024,2
3,2.75,1850,1850,1.5,1965,Kirkland,WA 98034,2
4,2.75,2270,1290,1,1973,Kirkland,WA 98034,2
3,2,2090,2090,1.5,1959,Ravensdale,WA 98051,2
3,1.75,2170,1450,1,1986,Sammamish,WA 98074,3
3,2.5,1820,1820,2,2005,Kenmore,WA 98028,3
3,1.75,1600,1600,1.5,1924,Seattle,WA 98115,3
4,2.75,2450,2450,1,1974,Normandy Park,WA 98166,3
4,1.75,1900,950,1,1955,Bellevue,WA 98006,3
2,2,2370,1600,1.5,1992,Issaquah,WA 98027,3
3,2.5,2090,1360,1,1962,Shoreline,WA 98133,3
3,1.75,2000,1110,1,1921,Seattle,WA 98117,3
3,1.5,1830,1830,1,1957,Bellevue,WA 98008,3
4,2.5,2240,2240,2,1989,Newcastle,WA 98059,3
5,1.75,2220,1420,1.5,1923,Seattle,WA 98199,3
5,2.5,2540,1760,2,1929,Seattle,WA 98117,3
4,2.75,1680,1680,1,1966,Redmond,WA 98052,3
4,2.5,2470,2470,2,1993,Redmond,WA 98053,3
3,1.75,1830,1830,1.5,1903,Seattle,WA 98122,3
3,1.5,2360,1930,2,1926,Seattle,WA 98103,4
4,3.25,3200,3200,2,2004,Sammamish,WA 98075,4
4,2.25,2060,1360,1,1941,Seattle,WA 98199,4
4,2.5,2700,2700,2,2004,Issaquah,WA 98029,4
5,5,5774,4490,1,1984,Federal Way,WA 98003,4
4,2.5,3430,3430,2,2000,Kirkland,WA 98034,4
3,2.5,3030,3030,1.5,1992,Woodinville,WA 98077,4
3,2.75,2470,2470,2,2007,Issaquah,WA 98029,4
3,2.5,2580,2580,2,1986,Redmond,WA 98052,4
4,2.5,2190,2190,2.5,1958,Mercer Island,WA 98040,4
3,2.5,3100,3100,1,1954,Shoreline,WA 98177,4
4,2.5,3320,3320,2,1995,Bellevue,WA 98006,4
5,2.25,2510,2510,2,1972,Mercer Island,WA 98040,4
5,4.5,3810,3810,2,2008,Sammamish,WA 98075,4
4,2.25,4470,4470,2,1988,Woodinville,WA 98072,4
4,3.5,4910,3110,1.5,2007,Sammamish,WA 98074,4
3,1,1040,1040,1,1959,Seattle,WA 98146,1
3,1,1060,1060,1,1970,Covington,WA 98042,1
3,1,1150,1150,1,1932,Seattle,WA 98168,1
3,1,1090,1090,1,1967,Federal Way,WA 98003,1
3,1,980,980,1.5,1903,Seattle,WA 98118,1
4,2,1670,1670,1,1967,Auburn,WA 98001,1
3,1,1160,1160,1,1969,Maple Valley,WA 98038,1
3,2,1400,1150,1,1979,Renton,WA 98058,1
3,2,1400,700,1,1948,Shoreline,WA 98133,1
3,1.75,1490,1490,1,1990,Kent,WA 98030,1
3,1,1230,1230,1,1957,Renton,WA 98055,1
3,2,1650,1160,1,1979,Renton,WA 98058,1
4,2.5,2070,2070,2,1989,Federal Way,WA 98003,1
3,2.5,1690,1690,2,2003,Federal Way,WA 98023,1
3,2.25,1590,1590,2,1991,Federal Way,WA 98003,1
3,1,1010,1010,1,1969,Renton,WA 98059,1
4,2.5,1840,1400,2,2004,Seattle,WA 98106,1
3,1,1330,1330,1.5,1959,North Bend,WA 98045,1
3,1.5,850,850,1,1986,Seattle,WA 98106,1
3,1,1220,1220,1,1955,Shoreline,WA 98133,2
3,2,1510,1230,1,1973,Seattle,WA 98125,2
4,1.75,2020,1010,1,1963,Renton,WA 98059,2
3,2.25,1490,1220,2,2009,Seattle,WA 98106,2
2,1,880,880,1,1919,Seattle,WA 98106,2
4,2.5,2150,2150,2,1991,Kent,WA 98031,2
3,1.75,1960,980,1,1948,Seattle,WA 98106,2
3,2.25,1180,1180,2,1986,Kenmore,WA 98028,2
4,1.75,2290,1340,1,1960,Seattle,WA 98146,2
3,2.5,1232,1232,3,2007,Seattle,WA 98125,2
3,2.5,1700,1700,2,1994,Renton,WA 98055,2
3,1,1400,1400,1,1957,Seattle,WA 98125,2
4,2.5,2710,2710,2,1998,Auburn,WA 98092,2
4,1.75,1890,1250,1,1960,Shoreline,WA 98133,2
3,2.5,1720,1720,2,2010,Redmond,WA 98053,2
3,2.5,2240,2240,2,1996,Kenmore,WA 98028,2
3,1.5,1120,1120,1,1955,Bellevue,WA 98007,2
3,1,1630,1630,1,1953,Shoreline,WA 98155,2
3,1.5,1490,1490,1,1963,Redmond,WA 98052,2
3,1.5,1340,1340,1,1956,Bellevue,WA 98006,2
4,1.75,1880,1010,1,1976,Kirkland,WA 98034,2
2,1,1320,1320,1,1912,Seattle,WA 98116,2
3,2.5,1870,1470,1,1980,Kirkland,WA 98034,2
3,1.75,1410,1410,1,1924,Seattle,WA 98133,2
3,1.5,1260,1260,1,1959,Bellevue,WA 98008,2
3,1,1660,1000,1,1946,Seattle,WA 98133,2
7,3.5,2870,1520,1,1961,Seattle,WA 98125,2
4,2,2050,1210,1.5,1941,Seattle,WA 98144,2
4,2.5,2240,2240,2,1995,Seattle,WA 98118,2
3,2.5,1840,1840,2,1997,Seattle,WA 98116,3
3,2.5,2700,2700,2,1991,Woodinville,WA 98072,3
3,2,1640,1640,1,1977,Sammamish,WA 98075,3
3,2.25,1980,1980,1,1980,Redmond,WA 98053,3
4,2.5,3020,1600,1,1979,Lake Forest Park,WA 98155,3
2,1,1490,1090,1,1946,Seattle,WA 98112,3
3,2.5,2360,2360,2,1996,Seattle,WA 98115,3
4,2.75,2550,1440,1,1986,Sammamish,WA 98074,3
5,1.75,2000,2000,2,1921,Seattle,WA 98103,3
4,2.5,2240,2240,1,1983,Sammamish,WA 98074,3
4,2,1550,1550,1.5,1909,Seattle,WA 98103,3
4,2.5,2680,2680,2,1989,Issaquah,WA 98029,3
4,2,2560,1890,1,1947,Seattle,WA 98115,3
4,3.25,2740,2060,2,2003,Issaquah,WA 98027,3
3,2.5,4560,3800,2,1986,Sammamish,WA 98074,3
4,3,3150,3150,2,2001,Sammamish,WA 98075,3
4,2.5,3240,3240,2,1985,Redmond,WA 98052,4
5,3.75,3580,3190,2,1999,Issaquah,WA 98027,4
4,2.5,3310,3310,2,2004,Redmond,WA 98052,4
5,2.75,3030,3030,2,2013,Newcastle,WA 98056,4
4,3.5,3930,2820,2,2013,Issaquah,WA 98027,4
4,1.75,2930,1670,1,1947,Seattle,WA 98117,4
4,2.5,3950,3950,3,2013,Sammamish,WA 98075,4
5,4.25,3920,2900,2,1990,Bellevue,WA 98004,4
4,3.25,3740,2000,1,1988,Woodinville,WA 98077,4
4,2.5,3200,3200,2,2006,Seattle,WA 98105,4
2,1,1010,1010,1,1955,Des Moines,WA 98198,1
3,1,1000,1000,1,1940,Seattle,WA 98146,1
5,1.75,1730,1050,1,1978,Covington,WA 98042,1
3,2,1020,720,2,2004,Seattle,WA 98126,1
4,2.25,1860,1120,1,1979,Federal Way,WA 98023,1
5,1,1460,1460,2,1941,Tukwila,WA 98168,1
2,1,870,870,1,1941,Seattle,WA 98106,1
4,3.5,1850,1130,2,1986,Federal Way,WA 98023,1
3,2.25,1440,940,1,1982,Kent,WA 98031,1
3,2,1900,950,1,1966,Maple Valley,WA 98038,1
2,1.5,1070,1070,1,1985,Kent,WA 98030,1
4,2,1510,1510,1,1955,Seattle,WA 98108,1
3,2.5,1480,1480,2,1987,North Bend,WA 98045,1
2,1,830,830,1,1954,Shoreline,WA 98133,1
3,2.5,1870,1870,2,2005,Kent,WA 98042,2
3,2.25,2060,1560,1,1978,Federal Way,WA 98003,2
4,2.5,2340,2340,2,2003,Maple Valley,WA 98038,2
3,2,1760,1060,1,1977,Renton,WA 98058,2
3,1,1250,1250,1,1951,Seattle,WA 98126,2
3,1.5,1170,1170,1,1960,Bellevue,WA 98007,2
3,2.5,1480,1180,2,2012,Seattle,WA 98126,2
3,1,1260,720,1,1944,Seattle,WA 98125,2
4,1,1980,1980,1.5,1962,Renton,WA 98058,2
4,2.5,2440,2440,2,2009,Maple Valley,WA 98038,2
4,1.5,1370,900,1,1972,Kirkland,WA 98034,2
4,2.5,2790,2790,2,2005,Des Moines,WA 98198,2
3,1.5,1100,940,2,2007,Seattle,WA 98144,2
3,2.25,1410,1290,2,2005,Issaquah,WA 98027,2
3,3.25,1860,1860,3,2007,Shoreline,WA 98155,2
3,1.75,1180,940,1,1981,Sammamish,WA 98074,2
3,2.5,2740,2740,2,1973,Kent,WA 98032,2
3,2.5,1800,1800,2,1990,Seattle,WA 98106,2
3,2.5,2670,2670,1,1988,Kent,WA 98042,2
4,2.5,2280,2280,2,2001,Renton,WA 98056,2
3,2.5,2320,2320,2,1992,North Bend,WA 98045,2
3,1.75,2150,1200,1,1956,Seattle,WA 98136,2
3,3,1970,1970,1,2010,Kenmore,WA 98028,2
3,2.25,1990,1990,2,1984,Woodinville,WA 98072,2
4,2.25,2270,1290,1,1977,Kirkland,WA 98034,2
3,1.75,1560,1000,1.5,1926,Seattle,WA 98126,2
4,2.5,2430,2430,2,2009,Snoqualmie,WA 98065,2
3,2,1450,1450,1.5,1900,Seattle,WA 98107,2
3,2.5,2370,2370,2,2003,Snoqualmie,WA 98065,3
3,1.5,1260,1260,1.5,1931,Seattle,WA 98116,3
1,1,1140,1140,1.5,1920,Seattle,WA 98103,3
2,2,2260,2260,1,1990,Bothell,WA 98011,3
3,2.25,1520,1520,3,2013,Seattle,WA 98107,3
4,2.5,2110,2110,2,2000,Seattle,WA 98117,3
3,2.5,2134,2134,2.5,2008,Issaquah,WA 98029,3
3,2.5,2720,2720,2,2005,Snoqualmie,WA 98065,3
3,2.5,2170,2170,2,2003,Issaquah,WA 98029,3
3,2.25,1720,1450,1.5,1921,Seattle,WA 98105,3
4,2.5,3160,3160,2,1983,Sammamish,WA 98074,3
5,2.5,3200,3200,2,2009,Snoqualmie,WA 98065,3
2,1,2020,1700,1,1947,Seattle,WA 98146,4
3,2,2050,1180,1,1926,Seattle,WA 98112,4
5,2.75,2830,2830,2,2006,Redmond,WA 98052,4
4,2.5,3120,3120,2,2003,Issaquah,WA 98027,4
3,2,2180,1100,1,1904,Seattle,WA 98103,4
4,3.25,3120,2370,2,2005,Seattle,WA 98115,4
5,1.5,3360,3360,2,2014,Sammamish,WA 98074,4
4,2.75,3280,3280,2,1996,Woodinville,WA 98077,4
3,2,2220,1220,1,1947,Seattle,WA 98199,4
4,3,5520,3570,2,2008,Bellevue,WA 98006,4
5,4.25,6490,3940,2,1991,Mercer Island,WA 98040,4
3,2,1700,890,1,1944,Seattle,WA 98199,2
5,2.5,1970,1970,2,1994,Enumclaw,WA 98022,1
3,2.25,1410,1170,1,1987,Snoqualmie,WA 98065,2
3,2.5,2480,2480,2,1986,Renton,WA 98058,2
2,2,1360,780,1,1944,Seattle,WA 98115,2
3,2.5,2130,1210,1,1994,Woodinville,WA 98072,3
4,2.5,2060,1440,1,1985,Redmond,WA 98052,3
3,2,1940,1940,1,1954,Bellevue,WA 98007,4
2,1,680,680,1,1941,SeaTac,WA 98188,1
3,1,950,950,1,1954,Seattle,WA 98106,1
2,1,930,930,1,1942,Renton,WA 98056,1
2,1,910,910,1,1981,Renton,WA 98058,1
3,1.5,2200,2200,1.5,1932,Seattle,WA 98199,1
3,1,1080,1080,1,1942,Seattle,WA 98106,1
2,2.25,1610,1610,2,1979,Renton,WA 98056,1
3,1,970,970,1,1970,Kent,WA 98031,1
2,2,1470,1470,2,2005,Maple Valley,WA 98038,1
3,2.25,1580,1580,2,1986,Federal Way,WA 98023,1
4,1.5,1310,1060,1,1953,Des Moines,WA 98148,1
2,1,1120,1120,1,1980,Vashon,WA 98070,1
4,1.75,2420,1480,1,1979,Issaquah,WA 98027,1
3,2.5,1720,1720,2,2005,Renton,WA 98056,1
3,2.5,1270,1270,2,1993,North Bend,WA 98045,1
4,1.75,2080,1040,1,1955,Seattle,WA 98178,1
1,1.5,810,810,2,1982,Kirkland,WA 98033,1
5,1.5,2120,2120,1.5,1962,Renton,WA 98058,1
4,2.5,1700,1700,2,1988,Kent,WA 98031,1
3,2.75,2170,1380,1,1978,Kent,WA 98032,1
5,3,2100,1200,1,2007,Federal Way,WA 98003,1
3,1.75,1610,1610,1,1981,Renton,WA 98058,2
3,1,1370,1370,1,1960,Carnation,WA 98014,2
4,1.75,2310,1650,1,1976,Renton,WA 98058,2
3,2.5,2680,2680,2,1990,Federal Way,WA 98023,2
4,2,1580,1580,2,1906,Seattle,WA 98144,2
4,2.5,1830,1830,2,2003,Maple Valley,WA 98038,2
3,2.25,1640,1640,2,1985,Bellevue,WA 98007,2
4,2.75,2070,1120,1,1945,Shoreline,WA 98155,2
2,1.5,1660,830,1,1908,Seattle,WA 98146,2
3,2.5,1670,1670,2,1999,Woodinville,WA 98072,2
3,2.5,1690,1150,2,2014,Issaquah,WA 98029,2
4,2.5,2490,2490,2,1999,Auburn,WA 98092,2
4,2.75,2500,2500,2,1966,Seattle,WA 98118,2
3,2.5,1920,1920,2,1995,North Bend,WA 98045,2
3,2.5,2200,2200,2,2009,Seattle,WA 98118,2
2,1.5,1010,1010,1.5,1906,Seattle,WA 98107,2
3,1.75,1800,1800,1,1967,Renton,WA 98058,2
5,2.75,2190,1370,1,1978,Kenmore,WA 98028,2
3,1.5,1710,1410,1.5,1928,Seattle,WA 98118,2
5,1.75,1250,1250,1,1966,Bellevue,WA 98007,2
3,1.75,1630,1630,1,1967,Woodinville,WA 98072,2
4,2.5,3060,1700,1,1968,Shoreline,WA 98133,2
2,1,1490,860,1,1929,Seattle,WA 98117,2
3,2.5,1350,1350,3,2005,Seattle,WA 98117,2
3,2.25,1450,980,2,2005,Seattle,WA 98122,2
3,1.75,2200,2200,2,1908,Des Moines,WA 98198,2
3,1,1500,1370,1.5,1926,Seattle,WA 98107,2
2,2.25,1260,1260,3,2004,Seattle,WA 98103,2
4,2,1690,1550,1.5,1901,Seattle,WA 98103,2
3,2.5,1680,1380,2,2008,Seattle,WA 98117,3
3,1.75,1890,1290,1,1974,Seattle,WA 98117,3
3,3.5,2320,2060,2,1997,Kirkland,WA 98033,3
4,1,1660,1260,1.5,1945,Seattle,WA 98117,3
4,2.25,2110,2110,2,1979,Issaquah,WA 98027,3
3,2.25,2030,1500,1,1984,Newcastle,WA 98059,3
4,2.5,2500,2500,2,2013,Snoqualmie,WA 98065,3
3,2.25,2030,1190,1,1977,Redmond,WA 98052,3
5,1.75,3290,3290,1.5,1973,Redmond,WA 98052,3
4,2.5,2460,2460,2,1998,Redmond,WA 98074,3
4,2.5,3430,3430,2,2013,Woodinville,WA 98077,3
3,2,1610,1610,1.5,1940,Seattle,WA 98115,3
4,3.25,5010,5010,2,1988,Bellevue,WA 98006,3
3,1.75,2010,1230,1,1912,Seattle,WA 98122,4
4,2.5,2660,2660,2,1993,Redmond,WA 98052,4
5,2,3370,2140,1.5,1907,Seattle,WA 98109,4
4,2.5,3480,3480,2,1988,Woodinville,WA 98072,4
2,2.5,2380,2380,1,2011,Redmond,WA 98053,4
4,3.5,2640,2640,2,1937,Seattle,WA 98136,4
5,3.25,4180,2880,2,1979,Issaquah,WA 98027,4
4,2.75,2730,1550,1.5,1921,Seattle,WA 98115,4
2,1.75,2430,2430,1,1951,Shoreline,WA 98177,4
4,2.5,3190,1680,1,1967,Bellevue,WA 98006,4
4,3.5,3410,3410,2,2008,Bellevue,WA 98004,4
3,1.75,1140,1140,1,1969,Federal Way,WA 98023,1
2,1,950,950,1,1926,Seattle,WA 98168,1
1,1,820,760,1,2007,Seattle,WA 98126,1
3,1,1050,1050,1,1967,Renton,WA 98056,1
4,2,1700,1700,1,1978,Auburn,WA 98002,1
3,1.5,1650,1090,1,1967,Federal Way,WA 98003,1
2,1,1770,960,1.5,1943,Seattle,WA 98178,1
4,1.5,2500,1500,1,1961,Kent,WA 98032,1
4,2,1960,1160,1,1978,Kent,WA 98031,1
3,1,1320,1320,1,1957,Renton,WA 98056,1
4,2.5,1990,1990,2,1989,Federal Way,WA 98023,1
3,1.75,1570,1570,2,1982,Kent,WA 98031,1
2,1,790,790,1,1953,Shoreline,WA 98133,1
4,2.5,1860,1220,1,1983,Kent,WA 98031,1
2,1,870,870,1.5,1906,Seattle,WA 98144,1
3,2.5,2090,2090,2,2002,Covington,WA 98042,1
3,1.75,1560,1560,1,1964,Seattle,WA 98178,1
3,1,910,740,1,1950,Shoreline,WA 98177,1
6,5.25,2860,2860,2,1978,Auburn,WA 98002,2
3,1,2120,1060,1,1967,Renton,WA 98059,2
3,1,1090,1090,1,1955,Redmond,WA 98052,2
2,2.5,1590,1220,2,2009,Seattle,WA 98106,2
3,1,1092,1092,1.5,1918,Seattle,WA 98106,2
3,2.25,1400,1140,1,1987,Auburn,WA 98092,2
2,1,790,790,1,1955,Redmond,WA 98052,2
3,1.75,1280,1280,1,1969,Renton,WA 98059,2
3,1.75,1480,1480,1,1965,Renton,WA 98056,2
4,2.25,1870,1170,1,1959,Kirkland,WA 98034,2
6,3,1880,1880,1,1966,Renton,WA 98056,2
4,2.5,1600,830,1,1947,Seattle,WA 98106,2
3,2.5,2170,2170,2,2004,Maple Valley,WA 98038,2
4,2.5,2303,2303,2,2013,Auburn,WA 98001,2
3,1,1180,1180,1,1959,Issaquah,WA 98027,2
2,1,860,860,1,1948,Seattle,WA 98146,2
3,1,1060,1060,1,1967,Kenmore,WA 98028,2
3,1.5,1240,1240,1,1954,Bellevue,WA 98006,2
5,3.5,2800,2800,2.5,1903,Seattle,WA 98122,2
4,2.25,2220,2220,2,1999,Maple Valley,WA 98038,2
4,1.75,1590,1590,2,1922,Shoreline,WA 98133,2
2,1,1150,1150,1,1947,Seattle,WA 98199,2
4,3,2800,2800,2,2002,Maple Valley,WA 98038,2
3,1.75,1690,1380,2,2008,Seattle,WA 98108,2
3,2.5,1700,1700,2,2003,Snoqualmie,WA 98065,2
3,1.5,1490,1490,1,1959,Kenmore,WA 98028,2
2,2.25,1230,960,2,2012,Seattle,WA 98144,2
4,1,1320,1320,1.5,1929,Seattle,WA 98122,2
4,2.25,1770,1190,1,1965,Renton,WA 98058,2
3,1.5,1080,1080,1.5,1920,Seattle,WA 98115,2
2,1,1730,1730,2,1945,Seattle,WA 98126,2
5,2.5,2430,2430,2,2001,Renton,WA 98058,2
3,2.5,1800,1800,2,2014,Snoqualmie,WA 98065,2
3,2.25,1970,1680,2,2008,Seattle,WA 98108,2
4,1.75,1940,970,1,1941,Seattle,WA 98133,2
4,2.5,2800,2800,2,2004,Maple Valley,WA 98038,2
3,1.75,1200,1200,1,1906,Seattle,WA 98108,2
3,2,2010,1510,2,2003,Duvall,WA 98019,2
3,1.5,1270,1270,3,2007,Seattle,WA 98115,2
2,1.75,1300,1300,2,1948,Seattle,WA 98105,2
3,1.5,2060,2060,1,1953,Woodinville,WA 98077,2
4,1,1210,1210,1.5,1900,Seattle,WA 98103,2
1,2.25,2140,1470,1,1976,Woodinville,WA 98072,2
3,2.25,1270,1040,2,2005,Seattle,WA 98107,2
4,1.75,1650,1150,1,1950,Seattle,WA 98133,2
4,2.75,2050,1180,1,1986,Seattle,WA 98116,2
2,1.75,1480,840,1,1951,Seattle,WA 98116,2
5,3.5,4460,3280,3,2013,Seattle,WA 98119,2
3,1,1910,1010,1,1946,Seattle,WA 98117,2
4,1.75,2090,1250,1.5,1925,Seattle,WA 98136,2
5,3.5,3200,3200,2,1989,Renton,WA 98059,2
3,2,2020,1020,1,1963,Bellevue,WA 98008,3
4,2.5,2670,2670,2,2006,Renton,WA 98059,3
4,2,1820,1820,1,1967,Redmond,WA 98052,3
4,3.5,2680,2040,2,1942,Seattle,WA 98125,3
