city,number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,total cost
Issaquah,4,2.5,2670,2670,2.0,1989,689999.9999
Seattle,4,2.5,2760,1680,1.5,1928,734200.0
Bellevue,3,2.5,2620,2620,2.0,1992,746000.0001
Bellevue,4,2.5,2980,2890,2.0,2000,750000.0001
Redmond,4,2.5,3110,3110,2.0,2004,751000.0001
Seattle,3,1.75,1720,1720,1.0,1954,770000.0
Issaquah,4,3.25,3680,2840,2.0,2003,787999.9999
Seattle,4,2.75,2600,1620,1.5,1936,839999.9999
Mercer Island,4,1.75,2350,2350,1.0,1961,850000.0001
Mercer Island,3,3.25,2170,1650,1.5,1928,876649.9999
Seattle,4,2.5,2830,2830,2.0,1995,885000.0001
Bellevue,4,3.25,4700,3420,2.0,1978,900000.0001
Seattle,3,2.0,2700,1350,1.0,1962,909999.9999
Clyde Hill,4,2.75,3300,3300,2.0,1953,927000.0
Mercer Island,4,2.25,3290,3290,1.5,1968,947499.9999
Burien,3,2.75,2980,2180,1.5,1917,947499.9999
Woodinville,5,3.0,4530,3200,1.5,2003,949999.9997
Seattle,3,2.5,2920,1800,1.0,1954,1015000.0
Redmond,4,3.25,3270,3110,2.0,2014,1033888.0
Kirkland,4,3.75,3280,2320,2.0,2008,1050000.0
Redmond,4,4.5,5420,3890,1.0,2001,1225000.0
Mercer Island,4,2.25,3070,1870,1.0,1976,1225000.0
Bellevue,4,3.75,3490,3490,2.0,2012,1264000.0
Seattle,4,3.5,3460,2560,2.0,2004,1315000.0
Clyde Hill,5,1.75,3380,1690,1.0,1963,1346400.0
Kirkland,2,1.0,790,790,1.0,1973,89999.99997
Seattle,2,1.0,910,910,1.0,1943,155000.0
SeaTac,4,1.5,1950,1950,1.5,1939,225000.0
Auburn,3,1.0,1660,1100,1.0,1963,225000.0
Kent,3,1.5,1250,1250,1.0,1967,225000.0
Seattle,3,1.0,1040,1040,1.0,1947,225000.0
Seattle,2,0.75,650,650,1.0,1931,230000.0
Auburn,3,1.0,1900,1900,1.5,1942,239950.0001
Seattle,5,1.75,2020,1220,1.0,1962,245000.0001
Federal Way,4,2.25,2510,1610,1.0,1972,267345.0001
Burien,3,1.0,1090,1090,1.0,1973,285000.0
Duvall,3,2.25,1490,1170,1.0,1987,287000.0
Auburn,3,2.5,1950,1950,2.0,1990,287600.0
Renton,3,1.0,1090,1090,1.0,1981,289000.0
Woodinville,3,1.0,1390,1390,1.0,1968,318999.9999
Duvall,3,2.0,1350,1350,1.0,1989,322500.0
Seattle,3,2.5,1450,840,1.0,2007,330000.0
Kirkland,3,1.75,1090,1090,1.0,1968,345000.0
Vashon,3,2.5,2010,2010,2.0,1977,350000.0
Shoreline,3,1.75,1650,1060,1.0,1951,370000.0
Kent,5,2.5,3001,3001,2.0,2006,373000.0
Normandy Park,3,1.0,1190,1190,1.0,1953,375000.0
Seattle,3,2.0,1480,740,1.0,1943,385000.0
Lake Forest Park,4,1.75,2180,1090,1.0,1956,405000.0
Seattle,4,1.0,1410,810,1.0,1925,413000.0
Seattle,3,1.75,1960,980,1.0,1911,415000.0
Snoqualmie,4,2.25,2140,2140,2.0,2002,435000.0001
Shoreline,3,2.0,1770,960,1.0,1954,449500.0
Covington,3,2.25,2450,2450,1.0,1978,450000.0001
Seattle,3,2.75,1250,1040,2.0,2010,450000.0
Renton,4,2.5,3360,3360,2.0,2001,455000.0
Kenmore,3,2.25,2350,1390,1.0,1977,460000.0001
Shoreline,5,2.5,3400,1700,1.0,1959,464000.0
Renton,4,2.5,3740,2260,1.0,2004,475000.0
Woodinville,5,4.75,3830,2130,1.0,1976,480000.0001
Kenmore,4,2.5,2040,2040,2.0,2012,502000.0
Renton,4,2.5,2790,2790,2.0,2009,504999.9999
Woodinville,3,3.5,2876,2360,2.0,2007,525000.0
Seattle,5,3.0,2450,2450,2.0,1994,525000.0
Seattle,3,2.5,1580,1010,2.0,2008,525000.0
Bellevue,3,1.75,1690,1690,1.0,1958,529999.9999
Redmond,2,2.0,1680,1680,1.0,2006,530000.0
Seattle,7,4.0,3440,3440,2.0,1970,549999.9999
Bellevue,4,2.0,2250,1200,1.0,1956,550000.0
Seattle,3,2.5,1490,1490,3.0,2004,554250.0
Seattle,3,1.0,1440,1440,2.0,1910,559999.9999
Seattle,3,2.0,1530,1530,1.0,1937,570000.0
Seattle,3,1.75,1580,1180,1.0,1951,575000.0
Bellevue,5,2.0,2290,1190,1.0,1964,580000.0
Redmond,4,1.75,2090,1070,1.0,1963,581000.0
Woodinville,4,2.25,2710,2710,2.0,1977,590999.9998
Seattle,3,1.75,1680,870,1.0,1922,591000.0
Seattle,3,1.0,1710,1710,1.5,1909,620000.0001
Seattle,3,3.5,1810,1440,2.0,2009,625000.0
Seattle,4,2.0,2260,1430,1.0,1958,628000.0
Bellevue,4,1.75,1950,1370,1.0,1969,634999.9999
Bellevue,3,2.5,1740,1740,2.0,1975,645000.0001
Seattle,4,2.5,2210,2210,2.0,2013,650000.0
Sammamish,4,2.5,2740,2740,2.0,1993,651000.0
Snoqualmie,4,3.5,3400,3400,2.0,2012,660000.0
Seattle,3,2.0,1940,1150,1.5,1944,665000.0
Redmond,5,3.0,3410,1870,1.0,1968,675000.0
Newcastle,4,2.5,3000,3000,2.0,2006,675000.0
Bellevue,3,2.5,2030,2030,2.0,1975,700000.0
Issaquah,3,3.25,3190,3190,2.0,2007,756999.9998
Issaquah,3,3.25,3610,2440,2.0,2003,776999.9999
Mercer Island,3,1.75,2340,2340,1.0,1967,780000.0001
Seattle,6,3.0,2890,2290,2.5,1906,799200.0001
Redmond,5,2.75,3150,3150,2.0,2013,819900.0
Bellevue,4,2.5,3560,2290,1.0,1986,860000.0
Seattle,4,2.5,3520,2650,2.5,2006,870000.0001
Bellevue,4,2.5,3490,3490,2.0,2000,974999.9999
Sammamish,4,3.25,4400,4400,2.0,2003,1050000.0
Mercer Island,5,4.25,3530,3530,2.0,2001,1400000.0
Mercer Island,5,3.25,4860,3820,2.0,1989,1680000.0
Auburn,3,1.0,1100,1100,1.0,1978,139000.0001
Renton,2,1.0,700,700,1.0,1952,155000.0
Kent,3,1.0,860,860,1.0,1963,159999.9999
Des Moines,2,1.0,1170,1170,1.0,1911,175000.0
Tukwila,2,1.0,1240,1240,1.0,1967,215000.0
Auburn,3,1.75,1340,1340,1.0,1973,223000.0
Auburn,4,2.0,1630,1050,1.0,1975,234000.0
Covington,4,2.5,2230,2230,2.0,2006,253000.0
Auburn,3,2.0,1850,1150,1.0,1952,257200.0
Auburn,3,2.0,1570,1570,1.0,1998,265000.0
Kent,3,2.5,1780,1400,1.0,1986,266000.0001
Shoreline,2,1.0,700,700,1.0,1949,267800.0
Seattle,3,1.0,1260,1260,1.0,1946,300000.0
Renton,3,1.75,2110,2110,2.0,1966,305494.9999
Seattle,3,1.5,1220,1220,3.0,2007,306000.0
Shoreline,3,1.0,1480,1480,1.0,1952,310000.0
Kenmore,3,1.0,1050,1050,1.0,1953,310000.0
Auburn,4,2.5,2010,2010,2.0,1995,316000.0
Maple Valley,3,2.5,1840,1840,2.0,2012,317000.0
Kent,3,2.5,2220,2220,2.0,1990,325000.0001
Seattle,5,2.0,1700,1000,1.0,1956,337500.0001
Seattle,3,1.0,1050,1050,1.5,1906,339950.0
Renton,3,2.25,1970,1970,2.0,1997,340000.0001
Renton,3,2.25,2120,2120,2.0,1984,344999.9999
SeaTac,5,3.0,2257,1363,1.0,2005,349950.0
Tukwila,3,3.5,2100,2100,2.0,1980,356000.0
Shoreline,4,1.75,2010,1340,1.0,1957,364000.0
Seattle,3,1.0,1290,980,1.0,1951,372220.0
Issaquah,3,2.5,1690,1150,2.0,2014,372977.0001
Seattle,4,1.75,1620,860,1.0,1947,385000.0
Auburn,4,2.5,3040,3040,2.0,1999,420000.0001
Renton,3,2.75,2580,2580,2.0,2008,437000.0
Federal Way,3,2.5,2910,2910,2.0,1989,450000.0
Seattle,3,1.0,1660,1060,1.0,1940,458000.0
Duvall,4,2.5,2310,2310,2.0,1991,470000.0
Fall City,4,2.5,2150,1420,1.0,1978,486000.0001
Kirkland,3,2.75,1850,1850,1.5,1965,489200.0
Kirkland,4,2.75,2270,1290,1.0,1973,497999.9999
Ravensdale,3,2.0,2090,2090,1.5,1959,498999.9999
Sammamish,3,1.75,2170,1450,1.0,1986,510000.0
Kenmore,3,2.5,1820,1820,2.0,2005,511000.0
Seattle,3,1.75,1600,1600,1.5,1924,525000.0
Normandy Park,4,2.75,2450,2450,1.0,1974,530000.0
Bellevue,4,1.75,1900,950,1.0,1955,542000.0
Issaquah,2,2.0,2370,1600,1.5,1992,542999.9995
Shoreline,3,2.5,2090,1360,1.0,1962,543000.0
Seattle,3,1.75,2000,1110,1.0,1921,546000.0
Bellevue,3,1.5,1830,1830,1.0,1957,562000.0
Newcastle,4,2.5,2240,2240,2.0,1989,565000.0001
Seattle,5,1.75,2220,1420,1.5,1923,607500.0
Seattle,5,2.5,2540,1760,2.0,1929,620000.0
Redmond,4,2.75,1680,1680,1.0,1966,624999.9999
Redmond,4,2.5,2470,2470,2.0,1993,633099.9999
Seattle,3,1.75,1830,1830,1.5,1903,682000.0
Seattle,3,1.5,2360,1930,2.0,1926,702500.0
Sammamish,4,3.25,3200,3200,2.0,2004,706999.9999
Seattle,4,2.25,2060,1360,1.0,1941,715000.0
Issaquah,4,2.5,2700,2700,2.0,2004,723000.0
Federal Way,5,5.0,5774,4490,1.0,1984,740000.0001
Kirkland,4,2.5,3430,3430,2.0,2000,740000.0
Woodinville,3,2.5,3030,3030,1.5,1992,766950.0
Issaquah,3,2.75,2470,2470,2.0,2007,773000.0
Redmond,3,2.5,2580,2580,2.0,1986,802000.0
Mercer Island,4,2.5,2190,2190,2.5,1958,924999.9999
Shoreline,3,2.5,3100,3100,1.0,1954,930000.0001
Bellevue,4,2.5,3320,3320,2.0,1995,949999.9999
Mercer Island,5,2.25,2510,2510,2.0,1972,954999.9999
Sammamish,5,4.5,3810,3810,2.0,2008,965999.9999
Woodinville,4,2.25,4470,4470,2.0,1988,1120000.0
Sammamish,4,3.5,4910,3110,1.5,2007,1222500.0
Seattle,3,1.0,1040,1040,1.0,1959,148612.5
Covington,3,1.0,1060,1060,1.0,1970,174949.9999
Seattle,3,1.0,1150,1150,1.0,1932,185000.0
Federal Way,3,1.0,1090,1090,1.0,1967,190000.0
Seattle,3,1.0,980,980,1.5,1903,197500.0
Auburn,4,2.0,1670,1670,1.0,1967,204700.0
Maple Valley,3,1.0,1160,1160,1.0,1969,215000.0
Renton,3,2.0,1400,1150,1.0,1979,225000.0
Shoreline,3,2.0,1400,700,1.0,1948,240000.0001
Kent,3,1.75,1490,1490,1.0,1990,245000.0
Renton,3,1.0,1230,1230,1.0,1957,250000.0
Renton,3,2.0,1650,1160,1.0,1979,252350.0
Federal Way,4,2.5,2070,2070,2.0,1989,255000.0001
Federal Way,3,2.5,1690,1690,2.0,2003,256883.0
Federal Way,3,2.25,1590,1590,2.0,1991,263000.0
Renton,3,1.0,1010,1010,1.0,1969,270000.0
Seattle,4,2.5,1840,1400,2.0,2004,274750.0001
North Bend,3,1.0,1330,1330,1.5,1959,279999.9999
Seattle,3,1.5,850,850,1.0,1986,295000.0
Shoreline,3,1.0,1220,1220,1.0,1955,300000.0001
Seattle,3,2.0,1510,1230,1.0,1973,300000.0001
Renton,4,1.75,2020,1010,1.0,1963,302000.0
Seattle,3,2.25,1490,1220,2.0,2009,312000.0
Seattle,2,1.0,880,880,1.0,1919,312500.0
Kent,4,2.5,2150,2150,2.0,1991,316500.0
Seattle,3,1.75,1960,980,1.0,1948,340000.0
Kenmore,3,2.25,1180,1180,2.0,1986,342400.0
Seattle,4,1.75,2290,1340,1.0,1960,343000.0
Seattle,3,2.5,1232,1232,3.0,2007,344000.0
Renton,3,2.5,1700,1700,2.0,1994,349950.0
Seattle,3,1.0,1400,1400,1.0,1957,349950.0
Auburn,4,2.5,2710,2710,2.0,1998,370000.0001
Shoreline,4,1.75,1890,1250,1.0,1960,375000.0
Redmond,3,2.5,1720,1720,2.0,2010,386380.0
Kenmore,3,2.5,2240,2240,2.0,1996,390000.0001
Bellevue,3,1.5,1120,1120,1.0,1955,395300.0
Shoreline,3,1.0,1630,1630,1.0,1953,400000.0
Redmond,3,1.5,1490,1490,1.0,1963,412500.0
Bellevue,3,1.5,1340,1340,1.0,1956,417000.0
Kirkland,4,1.75,1880,1010,1.0,1976,423000.0
Seattle,2,1.0,1320,1320,1.0,1912,451555.0
Kirkland,3,2.5,1870,1470,1.0,1980,455000.0001
Seattle,3,1.75,1410,1410,1.0,1924,464999.9999
Bellevue,3,1.5,1260,1260,1.0,1959,465750.0
Seattle,3,1.0,1660,1000,1.0,1946,467000.0
Seattle,7,3.5,2870,1520,1.0,1961,475000.0
Seattle,4,2.0,2050,1210,1.5,1941,495000.0
Seattle,4,2.5,2240,2240,2.0,1995,497000.0
Seattle,3,2.5,1840,1840,2.0,1997,512500.0
Woodinville,3,2.5,2700,2700,2.0,1991,525000.0001
Sammamish,3,2.0,1640,1640,1.0,1977,540833.3332
Redmond,3,2.25,1980,1980,1.0,1980,550000.0
Lake Forest Park,4,2.5,3020,1600,1.0,1979,574999.9999
Seattle,2,1.0,1490,1090,1.0,1946,575000.0
Seattle,3,2.5,2360,2360,2.0,1996,580050.0
Sammamish,4,2.75,2550,1440,1.0,1986,582800.0
Seattle,5,1.75,2000,2000,2.0,1921,585000.0
Sammamish,4,2.5,2240,2240,1.0,1983,592500.0
Seattle,4,2.0,1550,1550,1.5,1909,612999.9999
Issaquah,4,2.5,2680,2680,2.0,1989,620000.0001
Seattle,4,2.0,2560,1890,1.0,1947,640000.0001
Issaquah,4,3.25,2740,2060,2.0,2003,689899.9999
Sammamish,3,2.5,4560,3800,2.0,1986,695000.0
Sammamish,4,3.0,3150,3150,2.0,2001,694999.9999
Redmond,4,2.5,3240,3240,2.0,1985,749399.9999
Issaquah,5,3.75,3580,3190,2.0,1999,764999.9999
Redmond,4,2.5,3310,3310,2.0,2004,803099.9999
Newcastle,5,2.75,3030,3030,2.0,2013,819995.0
Issaquah,4,3.5,3930,2820,2.0,2013,828950.0
Seattle,4,1.75,2930,1670,1.0,1947,840000.0001
Sammamish,4,2.5,3950,3950,3.0,2013,914500.0
Bellevue,5,4.25,3920,2900,2.0,1990,1000000.0
Woodinville,4,3.25,3740,2000,1.0,1988,1085000.0
Seattle,4,2.5,3200,3200,2.0,2006,1255000.0
Des Moines,2,1.0,1010,1010,1.0,1955,174500.0
Seattle,3,1.0,1000,1000,1.0,1940,180000.0
Covington,5,1.75,1730,1050,1.0,1978,204999.9999
Seattle,3,2.0,1020,720,2.0,2004,238000.0
Federal Way,4,2.25,1860,1120,1.0,1979,239899.9999
Tukwila,5,1.0,1460,1460,2.0,1941,239950.0
Seattle,2,1.0,870,870,1.0,1941,245000.0
Federal Way,4,3.5,1850,1130,2.0,1986,248000.0
Kent,3,2.25,1440,940,1.0,1982,249000.0
Maple Valley,3,2.0,1900,950,1.0,1966,249999.9999
Kent,2,1.5,1070,1070,1.0,1985,252700.0
Seattle,4,2.0,1510,1510,1.0,1955,254000.0
North Bend,3,2.5,1480,1480,2.0,1987,275000.0
Shoreline,2,1.0,830,830,1.0,1954,282613.0
Kent,3,2.5,1870,1870,2.0,2005,306000.0
Federal Way,3,2.25,2060,1560,1.0,1978,306499.9999
Maple Valley,4,2.5,2340,2340,2.0,2003,314000.0001
Renton,3,2.0,1760,1060,1.0,1977,317000.0001
Seattle,3,1.0,1250,1250,1.0,1951,326428.5715
Bellevue,3,1.5,1170,1170,1.0,1960,330000.0
Seattle,3,2.5,1480,1180,2.0,2012,341000.0
Seattle,3,1.0,1260,720,1.0,1944,342000.0
Renton,4,1.0,1980,1980,1.5,1962,345000.0
Maple Valley,4,2.5,2440,2440,2.0,2009,350000.0
Kirkland,4,1.5,1370,900,1.0,1972,370000.0
Des Moines,4,2.5,2790,2790,2.0,2005,375000.0
Seattle,3,1.5,1100,940,2.0,2007,375000.0
Issaquah,3,2.25,1410,1290,2.0,2005,377499.9999
Shoreline,3,3.25,1860,1860,3.0,2007,379950.0001
Sammamish,3,1.75,1180,940,1.0,1981,385000.0
Kent,3,2.5,2740,2740,2.0,1973,400000.0001
Seattle,3,2.5,1800,1800,2.0,1990,408200.0
Kent,3,2.5,2670,2670,1.0,1988,425000.0001
Renton,4,2.5,2280,2280,2.0,2001,432999.9999
North Bend,3,2.5,2320,2320,2.0,1992,437499.9999
Seattle,3,1.75,2150,1200,1.0,1956,440825.0
Kenmore,3,3.0,1970,1970,1.0,2010,445000.0
Woodinville,3,2.25,1990,1990,2.0,1984,445000.0001
Kirkland,4,2.25,2270,1290,1.0,1977,446000.0
Seattle,3,1.75,1560,1000,1.5,1926,451000.0
Snoqualmie,4,2.5,2430,2430,2.0,2009,480000.0001
Seattle,3,2.0,1450,1450,1.5,1900,489999.9999
Snoqualmie,3,2.5,2370,2370,2.0,2003,522500.0001
Seattle,3,1.5,1260,1260,1.5,1931,523000.0
Seattle,1,1.0,1140,1140,1.5,1920,540000.0
Bothell,2,2.0,2260,2260,1.0,1990,551000.0001
Seattle,3,2.25,1520,1520,3.0,2013,565000.0
Seattle,4,2.5,2110,2110,2.0,2000,577437.4999
Issaquah,3,2.5,2134,2134,2.5,2008,611000.0
Snoqualmie,3,2.5,2720,2720,2.0,2005,619000.0
Issaquah,3,2.5,2170,2170,2.0,2003,619499.9999
Seattle,3,2.25,1720,1450,1.5,1921,620000.0
Sammamish,4,2.5,3160,3160,2.0,1983,645000.0
Snoqualmie,5,2.5,3200,3200,2.0,2009,674999.9999
Seattle,2,1.0,2020,1700,1.0,1947,719999.9999
Seattle,3,2.0,2050,1180,1.0,1926,724799.9999
Redmond,5,2.75,2830,2830,2.0,2006,725000.0
Issaquah,4,2.5,3120,3120,2.0,2003,730100.0
Seattle,3,2.0,2180,1100,1.0,1904,785000.0001
Seattle,4,3.25,3120,2370,2.0,2005,799000.0
Sammamish,5,1.5,3360,3360,2.0,2014,804995.0
Woodinville,4,2.75,3280,3280,2.0,1996,862500.0001
Seattle,3,2.0,2220,1220,1.0,1947,875000.0
Bellevue,4,3.0,5520,3570,2.0,2008,1270000.0
Mercer Island,5,4.25,6490,3940,2.0,1991,2000000.0
Seattle,3,2.0,1700,890,1.0,1944,410000.0
Enumclaw,5,2.5,1970,1970,2.0,1994,297000.0
Snoqualmie,3,2.25,1410,1170,1.0,1987,352500.0
Renton,3,2.5,2480,2480,2.0,1986,415000.0
Seattle,2,2.0,1360,780,1.0,1944,488000.0
Woodinville,3,2.5,2130,1210,1.0,1994,534640.0
Redmond,4,2.5,2060,1440,1.0,1985,575550.0
Bellevue,3,2.0,1940,1940,1.0,1954,732000.0001
SeaTac,2,1.0,680,680,1.0,1941,110700.0
Seattle,3,1.0,950,950,1.0,1954,137000.0
Renton,2,1.0,930,930,1.0,1942,141800.0
Renton,2,1.0,910,910,1.0,1981,176400.0
Seattle,3,1.5,2200,2200,1.5,1932,193000.0001
Seattle,3,1.0,1080,1080,1.0,1942,210000.0001
Renton,2,2.25,1610,1610,2.0,1979,215000.0
Kent,3,1.0,970,970,1.0,1970,215000.0
Maple Valley,2,2.0,1470,1470,2.0,2005,241000.0
Federal Way,3,2.25,1580,1580,2.0,1986,247000.0
Des Moines,4,1.5,1310,1060,1.0,1953,251200.0
Vashon,2,1.0,1120,1120,1.0,1980,256500.0001
Issaquah,4,1.75,2420,1480,1.0,1979,257500.0
Renton,3,2.5,1720,1720,2.0,2005,280000.0
North Bend,3,2.5,1270,1270,2.0,1993,280000.0
Seattle,4,1.75,2080,1040,1.0,1955,285000.0
Kirkland,1,1.5,810,810,2.0,1982,285000.0
Renton,5,1.5,2120,2120,1.5,1962,290000.0
Kent,4,2.5,1700,1700,2.0,1988,290000.0
Kent,3,2.75,2170,1380,1.0,1978,296500.0001
Federal Way,5,3.0,2100,1200,1.0,2007,298450.0
Renton,3,1.75,1610,1610,1.0,1981,305000.0
Carnation,3,1.0,1370,1370,1.0,1960,307000.0
Renton,4,1.75,2310,1650,1.0,1976,319949.9999
Federal Way,3,2.5,2680,2680,2.0,1990,319999.9999
Seattle,4,2.0,1580,1580,2.0,1906,332999.9999
Maple Valley,4,2.5,1830,1830,2.0,2003,339000.0
Bellevue,3,2.25,1640,1640,2.0,1985,350000.0
Shoreline,4,2.75,2070,1120,1.0,1945,366500.0001
Seattle,2,1.5,1660,830,1.0,1908,367999.9999
Woodinville,3,2.5,1670,1670,2.0,1999,373000.0
Issaquah,3,2.5,1690,1150,2.0,2014,386591.0001
Auburn,4,2.5,2490,2490,2.0,1999,390000.0
Seattle,4,2.75,2500,2500,2.0,1966,411000.0
North Bend,3,2.5,1920,1920,2.0,1995,429000.0001
Seattle,3,2.5,2200,2200,2.0,2009,433500.0
Seattle,2,1.5,1010,1010,1.5,1906,440000.0
Renton,3,1.75,1800,1800,1.0,1967,442500.0
Kenmore,5,2.75,2190,1370,1.0,1978,446000.0001
Seattle,3,1.5,1710,1410,1.5,1928,462000.0
Bellevue,5,1.75,1250,1250,1.0,1966,462000.0
Woodinville,3,1.75,1630,1630,1.0,1967,464000.0
Shoreline,4,2.5,3060,1700,1.0,1968,475000.0001
Seattle,2,1.0,1490,860,1.0,1929,475000.0
Seattle,3,2.5,1350,1350,3.0,2005,477000.0
Seattle,3,2.25,1450,980,2.0,2005,482500.0
Des Moines,3,1.75,2200,2200,2.0,1908,485000.0
Seattle,3,1.0,1500,1370,1.5,1926,485000.0
Seattle,2,2.25,1260,1260,3.0,2004,485000.0
Seattle,4,2.0,1690,1550,1.5,1901,487250.0
Seattle,3,2.5,1680,1380,2.0,2008,518000.0
Seattle,3,1.75,1890,1290,1.0,1974,524950.0001
Kirkland,3,3.5,2320,2060,2.0,1997,530000.0
Seattle,4,1.0,1660,1260,1.5,1945,560000.0
Issaquah,4,2.25,2110,2110,2.0,1979,565000.0
Newcastle,3,2.25,2030,1500,1.0,1984,572500.0
Snoqualmie,4,2.5,2500,2500,2.0,2013,574999.9999
Redmond,3,2.25,2030,1190,1.0,1977,588000.0
Redmond,5,1.75,3290,3290,1.5,1973,601999.9999
Redmond,4,2.5,2460,2460,2.0,1998,610999.9999
Woodinville,4,2.5,3430,3430,2.0,2013,646212.5
Seattle,3,2.0,1610,1610,1.5,1940,690000.0
Bellevue,4,3.25,5010,5010,2.0,1988,692000.0001
Seattle,3,1.75,2010,1230,1.0,1912,700000.0
Redmond,4,2.5,2660,2660,2.0,1993,755000.0
Seattle,5,2.0,3370,2140,1.5,1907,762000.0001
Woodinville,4,2.5,3480,3480,2.0,1988,809999.9999
Redmond,2,2.5,2380,2380,1.0,2011,818000.0
Seattle,4,3.5,2640,2640,2.0,1937,849999.9999
Issaquah,5,3.25,4180,2880,2.0,1979,869000.0001
Seattle,4,2.75,2730,1550,1.5,1921,885000.0001
Shoreline,2,1.75,2430,2430,1.0,1951,1000000.0
Bellevue,4,2.5,3190,1680,1.0,1967,1216000.0
Bellevue,4,3.5,3410,3410,2.0,2008,1405000.0
Federal Way,3,1.75,1140,1140,1.0,1969,120750.0
Seattle,2,1.0,950,950,1.0,1926,192500.0
Seattle,1,1.0,820,760,1.0,2007,194000.0
Renton,3,1.0,1050,1050,1.0,1967,200000.0
Auburn,4,2.0,1700,1700,1.0,1978,206000.0
Federal Way,3,1.5,1650,1090,1.0,1967,219950.0
Seattle,2,1.0,1770,960,1.5,1943,243000.0
Kent,4,1.5,2500,1500,1.0,1961,250000.0
Kent,4,2.0,1960,1160,1.0,1978,249999.9999
Renton,3,1.0,1320,1320,1.0,1957,259000.0
Federal Way,4,2.5,1990,1990,2.0,1989,260000.0
Kent,3,1.75,1570,1570,2.0,1982,263000.0
Shoreline,2,1.0,790,790,1.0,1953,268500.0
Kent,4,2.5,1860,1220,1.0,1983,268971.875
Seattle,2,1.0,870,870,1.5,1906,271310.0
Covington,3,2.5,2090,2090,2.0,2002,289000.0
Seattle,3,1.75,1560,1560,1.0,1964,291000.0
Shoreline,3,1.0,910,740,1.0,1950,299950.0
Auburn,6,5.25,2860,2860,2.0,1978,300000.0001
Renton,3,1.0,2120,1060,1.0,1967,300000.0001
Redmond,3,1.0,1090,1090,1.0,1955,300000.0
Seattle,2,2.5,1590,1220,2.0,2009,305000.0
Seattle,3,1.0,1092,1092,1.5,1918,309000.0
Auburn,3,2.25,1400,1140,1.0,1987,314999.9998
Redmond,2,1.0,790,790,1.0,1955,315000.0
Renton,3,1.75,1280,1280,1.0,1969,317061.875
Renton,3,1.75,1480,1480,1.0,1965,320000.0
Kirkland,4,2.25,1870,1170,1.0,1959,325000.0
Renton,6,3.0,1880,1880,1.0,1966,326000.0
Seattle,4,2.5,1600,830,1.0,1947,329000.0
Maple Valley,3,2.5,2170,2170,2.0,2004,329900.0
Auburn,4,2.5,2303,2303,2.0,2013,329995.0
Issaquah,3,1.0,1180,1180,1.0,1959,330000.0001
Seattle,2,1.0,860,860,1.0,1948,330000.0
Kenmore,3,1.0,1060,1060,1.0,1967,335000.0
Bellevue,3,1.5,1240,1240,1.0,1954,345000.0
Seattle,5,3.5,2800,2800,2.5,1903,345600.0
Maple Valley,4,2.25,2220,2220,2.0,1999,350000.0
Shoreline,4,1.75,1590,1590,2.0,1922,372500.0
Seattle,2,1.0,1150,1150,1.0,1947,376000.0
Maple Valley,4,3.0,2800,2800,2.0,2002,380000.0001
Seattle,3,1.75,1690,1380,2.0,2008,379999.9999
Snoqualmie,3,2.5,1700,1700,2.0,2003,384000.0
Kenmore,3,1.5,1490,1490,1.0,1959,385000.0
Seattle,2,2.25,1230,960,2.0,2012,387000.0
Seattle,4,1.0,1320,1320,1.5,1929,387500.0
Renton,4,2.25,1770,1190,1.0,1965,390000.0
Seattle,3,1.5,1080,1080,1.5,1920,395000.0
Seattle,2,1.0,1730,1730,2.0,1945,396674.9999
Renton,5,2.5,2430,2430,2.0,2001,405000.0
Snoqualmie,3,2.5,1800,1800,2.0,2014,409316.0
Seattle,3,2.25,1970,1680,2.0,2008,415000.0
Seattle,4,1.75,1940,970,1.0,1941,423000.0
Maple Valley,4,2.5,2800,2800,2.0,2004,426000.0001
Seattle,3,1.75,1200,1200,1.0,1906,430000.0
Duvall,3,2.0,2010,1510,2.0,2003,439000.0009
Seattle,3,1.5,1270,1270,3.0,2007,439999.9999
Seattle,2,1.75,1300,1300,2.0,1948,440000.0
Woodinville,3,1.5,2060,2060,1.0,1953,450000.0001
Seattle,4,1.0,1210,1210,1.5,1900,452000.0
Woodinville,1,2.25,2140,1470,1.0,1976,458000.0
Seattle,3,2.25,1270,1040,2.0,2005,467000.0
Seattle,4,1.75,1650,1150,1.0,1950,475000.0
Seattle,4,2.75,2050,1180,1.0,1986,480000.0
Seattle,2,1.75,1480,840,1.0,1951,483944.9999
Seattle,5,3.5,4460,3280,3.0,2013,489999.9999
Seattle,3,1.0,1910,1010,1.0,1946,490000.0
Seattle,4,1.75,2090,1250,1.5,1925,494000.0
Renton,5,3.5,3200,3200,2.0,1989,499949.9999
Bellevue,3,2.0,2020,1020,1.0,1963,507500.0
Renton,4,2.5,2670,2670,2.0,2006,514999.9999
Redmond,4,2.0,1820,1820,1.0,1967,519900.0
Seattle,4,3.5,2680,2040,2.0,1942,520000.0
Seattle,3,1.5,1540,1540,2.0,1941,524999.9999
Kenmore,3,2.5,2830,2830,2.0,2001,551000.0
Sammamish,5,2.25,2890,2890,2.0,1977,598000.0001
Seattle,3,2.5,2660,2660,2.0,2014,599950.0
Bellevue,4,2.75,2820,1860,1.0,1965,614999.9999
Seattle,3,2.5,1700,1700,2.0,1992,619500.0
Redmond,3,2.5,2480,2480,2.0,2004,620000.0
