number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,city,zip code,exchange rate,total cost
5,3,2876,13927,1,0,2,4,1970,906,1973,0,Mercer Island,WA 98040,7.558052981,895000
5,3.75,5330,6000,2,0,2,3,3570,1760,2006,0,Issaquah,WA 98027,7.930199132,949999.9999
4,3.25,2790,5420,1,0,3,3,1130,1660,1963,2013,Shoreline,WA 98177,6.865447271,969999.9999
5,4,4850,36450,2,0,0,3,4850,0,1977,2004,Bellevue,WA 98005,7.970443367,975000.0002
4,2.75,2290,6120,2,0,0,4,2170,120,1926,1993,Seattle,WA 98115,7.818750477,1003000
3,4,3880,13095,2,0,3,3,3700,180,2009,0,Kirkland,WA 98034,7.621840275,1030000
4,3.25,3810,8519,1,0,1,3,2680,1130,2007,0,Kirkland,WA 98033,6.075024487,1130000
3,2.25,2760,40946,2,0,0,5,2760,0,1978,0,Bellevue,WA 98005,7.658028199,1185000
3,2.5,4460,26027,2,0,0,3,4460,0,1992,0,Kirkland,WA 98033,7.688236338,1550000
2,1,820,10270,1,0,0,3,820,0,1954,2005,Seattle,WA 98168,7.848829445,149999.9999
2,2.5,1160,2174,2,0,0,3,1160,0,1998,2006,Seattle,WA 98106,7.397926636,168000
4,1.5,1740,7292,1,0,0,3,1020,720,1962,2003,SeaTac,WA 98168,6.349306861,180000
2,1,1400,4500,1,0,0,3,900,500,1922,2008,Renton,WA 98057,7.326839347,180000
3,1,870,5330,1,0,0,3,870,0,1969,2014,Covington,WA 98042,7.974425193,180000
3,1,910,6000,1,0,0,2,910,0,1956,0,Seattle,WA 98146,6.637162131,219900
2,1,740,11250,1,0,0,2,740,0,1938,0,Seattle,WA 98146,7.335396992,235750
4,2.25,1720,8300,1,0,0,4,1720,0,1973,0,Federal Way,WA 98023,6.06758407,240015.3333
4,2,1580,8000,1,0,0,3,1040,540,1967,2011,Federal Way,WA 98003,7.770230621,245000
2,1,940,8532,1,0,0,4,940,0,1959,0,Burien,WA 98166,7.078786407,249950
4,2.75,2570,7264,2,0,0,3,1720,850,1998,2006,Auburn,WA 98092,7.485985153,254500
3,2.5,1550,3569,2,0,0,3,1550,0,2011,0,Auburn,WA 98002,6.370148942,259000
2,1.5,840,867,2,0,0,3,840,0,2005,0,Seattle,WA 98115,7.449052275,270000
1,0.75,1170,14149,1,0,0,5,880,290,1962,0,Enumclaw,WA 98022,7.927663158,275000.0001
4,2,980,10640,1,0,0,5,980,0,1978,0,North Bend,WA 98045,6.208182571,295000
5,2.5,2760,6000,2,0,0,3,2760,0,2006,0,Seattle,WA 98108,7.867494958,300000
6,2,2040,10812,1,0,0,4,2040,0,1943,0,Renton,WA 98056,7.050024677,300000
4,1.75,2200,8100,1.5,0,0,5,1400,800,1942,0,Seattle,WA 98168,7.305851565,305000
3,1.5,2320,7500,1,0,0,3,2320,0,1976,0,Duvall,WA 98019,7.644693902,307000
2,1,1070,5824,1,0,2,5,1070,0,1949,0,Seattle,WA 98178,7.016839766,319950
3,2,1110,10500,1,0,0,5,1110,0,1978,0,North Bend,WA 98045,6.343046094,320000
3,2.25,998,844,2,0,0,3,798,200,2007,0,Seattle,WA 98117,6.596624709,320000
3,2.25,1347,1292,3,0,0,3,1347,0,2010,0,Seattle,WA 98125,6.360351833,321000
3,2.5,1750,7208,2,0,0,3,1750,0,1994,0,Renton,WA 98055,7.252334548,324000
4,3.5,3150,6202,2,0,0,3,3150,0,2005,0,Kent,WA 98042,7.530652942,330000
3,1,1070,6109,1,0,0,5,1070,0,1951,0,Seattle,WA 98125,6.148506935,337000
4,2.5,1980,7403,2,0,0,3,1980,0,1988,2000,Federal Way,WA 98023,7.34109828,342246.4286
3,1,1220,7876,1,0,0,3,1220,0,1966,1963,Kirkland,WA 98034,6.130201349,348580
4,2.5,2052,3723,2,0,0,3,2052,0,2014,0,Federal Way,WA 98003,7.632760493,349900
2,1,1060,1600,2,0,0,3,1060,0,1979,2014,Seattle,WA 98144,6.677799997,353250
3,2.25,1280,959,3,0,0,3,1280,0,2005,0,Seattle,WA 98103,6.525609215,355000
2,1.75,1060,16470,1,0,0,3,1060,0,1977,2004,Woodinville,WA 98072,6.084097157,356000
3,1.5,1360,885,3,0,0,3,1360,0,2008,0,Seattle,WA 98103,7.386963804,359000
3,1,1100,4046,1.5,0,4,4,1100,0,1922,0,Des Moines,WA 98198,7.34613736,360999.9999
5,3.5,2420,4670,2,0,0,3,2420,0,2013,1923,Seattle,WA 98118,7.559824849,380000.0001
2,2.5,1230,987,2,0,0,3,1060,170,2011,0,Seattle,WA 98144,6.260002962,380000
3,1,1250,7300,1,0,0,4,1250,0,1956,0,Bellevue,WA 98008,7.421356771,385000
4,2.5,3140,8060,2,0,0,3,3140,0,1991,0,Federal Way,WA 98023,7.647011223,389950
3,1,1040,6250,1,0,0,3,1040,0,1942,1999,Seattle,WA 98136,7.332286694,400000
3,2.25,1950,7221,1,0,0,4,1950,0,2006,0,SeaTac,WA 98188,7.065513886,407999.9999
4,3,3220,8936,2,0,0,3,2450,770,1990,2009,Kent,WA 98031,7.397403888,430000
2,2.5,1520,1588,2,0,0,3,1240,280,2007,0,Seattle,WA 98144,6.560734434,430000
3,3.5,1900,1612,2,0,0,3,1430,470,2008,0,Seattle,WA 98136,6.64387338,431499.9999
3,2.75,2200,14925,1,0,0,3,1100,1100,1982,0,Redmond,WA 98053,6.24400592,432000
3,2.25,1470,1578,2,0,0,3,1090,380,2007,0,Seattle,WA 98136,6.731286026,432000
3,2.25,1820,8008,1,0,0,3,1240,580,1981,2013,Redmond,WA 98052,7.94599719,475000.0001
4,2.25,3250,34293,2,0,0,4,3250,0,1983,0,Kent,WA 98042,6.489153876,480000.0002
5,2.25,2230,9600,1,0,0,3,1320,910,1978,0,Woodinville,WA 98077,6.82963781,481999.9999
4,2,1640,5000,2,0,0,3,1640,0,1907,1983,Seattle,WA 98107,6.002629589,492000
2,1.75,1560,1750,1,0,0,4,780,780,1904,0,Seattle,WA 98109,7.38960514,494400.0001
2,1.75,2860,59612,1,1,4,3,1510,1350,1948,2003,Federal Way,WA 98023,7.551998021,503000
4,2.25,2350,8140,1,0,0,4,1430,920,1977,0,Bellevue,WA 98006,7.16286115,555000
4,1.75,3000,42200,1,0,3,3,1500,1500,1950,2005,Renton,WA 98056,7.969724007,585000
4,3,2170,8240,1,0,0,4,1370,800,1968,0,Redmond,WA 98052,6.798299781,592500
3,1.75,1650,5100,1,0,0,5,1040,610,1908,0,Seattle,WA 98115,7.727697032,600000
4,2.75,2750,14982,1,0,3,3,1720,1030,1981,2013,Des Moines,WA 98198,6.575608779,604699.9999
4,2.5,2980,8107,2,0,0,3,2980,0,2000,0,Snoqualmie,WA 98065,7.267392737,622499.9999
3,1.75,2060,12558,1,0,0,4,1350,710,1984,0,Redmond,WA 98052,7.530851735,625000
4,2.5,3240,13978,1,0,0,3,1860,1380,1977,2004,Sammamish,WA 98074,6.261659456,635699.9999
4,1.75,2260,7005,1,0,1,4,1130,1130,1947,1988,Kirkland,WA 98033,6.42677849,648360
4,2.5,2860,12394,2,0,0,3,2860,0,1999,0,Sammamish,WA 98075,7.392516729,655000
4,1.75,2740,8520,1,0,2,3,1370,1370,1954,2005,Seattle,WA 98118,6.574897161,657000
3,2.5,2670,10496,2,0,0,3,2670,0,1989,0,Sammamish,WA 98074,7.578611622,657500.0001
3,2.5,2450,4332,2,0,0,3,2450,0,2010,0,Redmond,WA 98053,6.423500478,660000.0001
4,2.5,2600,17388,2,0,0,3,2600,0,1996,0,Newcastle,WA 98059,6.234244658,665000
3,2,2000,3207,1,0,0,4,1100,900,1916,0,Seattle,WA 98103,7.906109177,677000.0001
4,2.5,2930,18199,2,0,0,3,2930,0,1998,2006,Sammamish,WA 98075,6.199472309,749000.0001
4,2.5,2350,8001,2,0,0,4,2350,0,1987,0,Bellevue,WA 98006,6.014072323,770000
4,2.75,2410,6000,1,0,0,5,1410,1000,1950,0,Seattle,WA 98107,6.603993764,805000
4,3.25,3090,6744,2,0,4,3,3090,0,2013,1923,Shoreline,WA 98177,7.269112316,850000
4,3.25,3340,10890,1.5,0,0,3,2240,1100,1963,2000,Redmond,WA 98052,7.863375638,909999.9999
4,3,4260,18687,2,0,0,3,4260,0,1996,0,Sammamish,WA 98075,6.104846034,999999.9999
4,3.25,3440,35021,2,0,0,3,3440,0,1983,2009,Kirkland,WA 98033,6.988053082,1050000
4,2.5,3030,12590,1.5,0,0,4,3030,0,1988,0,Bellevue,WA 98004,6.507545355,1050000
4,3.75,3860,5474,2.5,0,0,3,3860,0,2007,0,Issaquah,WA 98029,6.311150119,1051000
4,3,3600,9200,1,0,4,4,2100,1500,1976,1992,Bellevue,WA 98008,6.273311647,1075000
3,2.75,2890,12130,2,0,3,4,2830,60,1987,0,Kirkland,WA 98033,6.959326412,1170000
1,0.75,430,5050,1,0,0,2,430,0,1912,0,Carnation,WA 98014,7.893801545,79999.99999
2,1,580,7500,1,0,0,3,580,0,1943,2002,Seattle,WA 98178,6.871645286,90000
3,1,1080,10500,1,0,0,3,1080,0,1967,2011,Auburn,WA 98001,7.310476713,132500
2,1,1300,44431,1,0,0,5,1300,0,1958,0,Auburn,WA 98001,7.795886732,175000
4,1,1350,11507,1,0,0,3,1350,0,1966,1963,Renton,WA 98055,6.547997932,200000
3,1,960,9633,1,0,0,5,960,0,1982,0,Enumclaw,WA 98022,7.6769696,218000
2,1,1300,11867,1.5,0,0,4,1300,0,1975,0,Ravensdale,WA 98051,6.419407922,225000
4,2.5,1810,39639,1,0,0,3,1230,580,1970,2014,Kent,WA 98042,6.509769259,234999.9999
2,1,1140,1730,1.5,0,0,3,1010,130,2007,0,Seattle,WA 98126,7.021747638,235000
4,1,1450,8960,1,0,0,3,1450,0,1943,2002,Seattle,WA 98146,7.591317334,244000
3,2,1490,8371,1.5,0,0,3,1490,0,1984,0,Kent,WA 98031,6.796552538,255000
3,1.75,1620,7540,1,0,0,3,1310,310,1988,2000,Maple Valley,WA 98038,6.501755178,258000
4,2.5,1960,9898,2,0,0,3,1960,0,2001,0,Kent,WA 98030,7.144448577,259585.5714
4,1.5,1930,15531,2,0,0,3,1930,0,1979,2014,Federal Way,WA 98003,7.367727054,274999.9999
2,1,1340,7788,1,0,2,3,1340,0,1947,2012,Seattle,WA 98178,7.939605123,300000
2,1,780,13500,1,0,0,4,780,0,1946,1989,Woodinville,WA 98077,7.090862107,306000
3,1,1920,6862,1,0,2,3,1120,800,1952,2008,Seattle,WA 98118,7.112874053,325000
4,2.5,2210,6080,1,0,2,4,1410,800,1965,0,Seattle,WA 98178,6.379755351,334000.0001
4,2.5,1750,8476,1,0,0,4,1240,510,1983,0,Renton,WA 98058,7.266247882,335000
3,1,1010,11244,1,0,0,4,1010,0,1947,1988,Shoreline,WA 98155,6.26221981,349999.9999
3,2,1220,1186,3,0,0,3,1220,0,2007,0,Seattle,WA 98103,6.301925006,355000
3,2,1270,1323,3,0,0,3,1270,0,2006,0,Seattle,WA 98103,6.876001999,360000
5,1.75,2120,8399,1,0,0,4,1320,800,1942,1982,Shoreline,WA 98133,7.899391937,377691.0001
3,1,1800,5612,1,0,0,4,1200,600,1942,1982,Seattle,WA 98126,7.095420898,383000
4,2.5,2440,7155,2,0,0,3,2440,0,1993,0,Renton,WA 98058,6.936613226,388000
3,1.75,2420,12676,2,0,0,3,2420,0,1911,1986,North Bend,WA 98045,6.079860631,399500.0001
3,2,1540,1827,2,0,0,3,1540,0,2005,0,Issaquah,WA 98029,7.496633088,401999.9999
3,2,1650,9641,1.5,0,0,3,1650,0,1983,2009,Kirkland,WA 98034,6.382527235,410000
3,1.5,1110,9762,1,0,0,4,1110,0,1963,0,Redmond,WA 98052,6.219863146,416000
4,1.75,1830,9600,1,0,0,4,1010,820,1966,0,Bellevue,WA 98006,6.548911625,433000
4,2.5,2380,12067,2,0,0,3,2380,0,2002,0,Renton,WA 98059,7.913439646,439950
4,2.5,2560,10400,1,0,0,4,1280,1280,1965,0,Issaquah,WA 98027,6.365072631,440000.0001
3,2,1630,8702,1,0,0,3,1630,0,1987,2000,Renton,WA 98056,7.350599714,445000
3,2,1560,4080,2,0,0,3,1560,0,1923,1982,Seattle,WA 98115,6.660808621,449950
3,1,1670,4005,1.5,0,0,4,1170,500,1939,1989,Seattle,WA 98117,7.75579644,460000.0001
3,1.75,1300,2580,1,0,0,5,820,480,1919,1934,Seattle,WA 98115,7.2411004,462000
3,1.75,1120,5500,1.5,0,0,4,1120,0,1925,1968,Seattle,WA 98136,7.617726528,464600
4,2.75,2430,20720,1,0,0,3,2430,0,1967,2011,Woodinville,WA 98072,6.501126739,465425.0001
3,1.75,1620,8645,1,0,0,3,1190,430,1973,2013,Redmond,WA 98052,6.881304491,467100
3,2.25,1670,1596,2,0,0,3,1220,450,2002,0,Seattle,WA 98199,6.38080488,505000
2,1,1680,6500,1,0,0,4,1140,540,1941,1998,Seattle,WA 98136,6.438224159,515000
3,1.75,1680,3420,1,0,0,3,960,720,1992,0,Seattle,WA 98115,6.684638974,525999.9999
4,1.75,1814,5000,1,0,0,4,944,870,1951,1999,Seattle,WA 98115,6.399581768,530000.0001
3,2.5,2210,7620,2,0,0,3,2210,0,1994,0,Redmond,WA 98052,6.643409481,534999.9999
4,3,2830,213879,2,0,0,4,2830,0,1987,0,Auburn,WA 98092,7.178103558,549899.9995
3,2.5,2510,5400,2,0,0,3,2510,0,1992,0,Renton,WA 98056,6.441723107,550000
3,2,1830,9152,1,0,0,5,1830,0,1959,0,Bellevue,WA 98006,7.682826806,550000
3,1,1430,5000,1,0,0,4,1080,350,1919,1985,Seattle,WA 98115,6.474216143,552000
4,2,3510,12905,1,0,2,3,2210,1300,1965,1982,Burien,WA 98166,7.051931956,554819.9999
5,2.5,3840,16905,2,0,0,3,3840,0,1991,0,Federal Way,WA 98023,7.891751537,556000
3,2.5,1620,1173,3,0,4,3,1470,150,2008,0,Seattle,WA 98103,7.439905095,580000
3,2,1670,4572,1.5,0,0,3,1670,0,1931,0,Seattle,WA 98117,6.397338503,585000
3,2.75,1960,2500,1.5,0,0,5,1410,550,1926,0,Seattle,WA 98103,7.634896023,599000
3,1,1500,3920,1,0,0,3,1000,500,1947,2012,Seattle,WA 98107,7.827932135,606000
3,2.5,2600,10092,1,0,0,3,2600,0,1984,0,Sammamish,WA 98074,7.535011797,625000
4,2.75,2250,5700,1,0,0,3,1200,1050,1951,1994,Seattle,WA 98109,7.948934884,648474.9999
4,4,2290,6250,1.5,0,0,5,1690,600,1940,0,Seattle,WA 98116,7.33159085,661254
3,2.75,1800,9550,1,0,0,4,1320,480,1966,0,Bellevue,WA 98006,7.739331702,665000
4,2,1590,6750,1,0,0,3,1590,0,1951,1994,Seattle,WA 98102,7.629298406,670500
4,2.5,2560,36601,2,0,0,4,2560,0,1987,0,Sammamish,WA 98075,6.00736549,675000.0001
3,2.5,2390,9157,2,0,0,3,2390,0,1984,0,Redmond,WA 98052,7.51376093,735000
4,2.5,2380,9614,2,0,0,4,2380,0,1991,0,Bellevue,WA 98006,7.321544189,782000.0001
4,2.75,3500,7200,2,0,0,3,3500,0,2005,0,Redmond,WA 98053,6.711249356,788599.9999
4,2.25,2530,9200,1,0,0,5,1570,960,1976,0,Bellevue,WA 98006,7.131716934,902000.0001
4,2,2840,13367,1,0,0,3,1420,1420,1952,2008,Clyde Hill,WA 98004,7.244415275,945000.0001
5,3.25,3400,7452,2,0,0,3,3400,0,1999,0,Bellevue,WA 98007,6.296567879,950000
4,3,3680,5854,1,0,3,3,2060,1620,1967,2011,Seattle,WA 98199,6.616966949,980000.0001
3,4,4380,42769,2,0,0,5,4380,0,1983,0,Redmond,WA 98052,6.032557012,1050000
4,3.5,4740,172497,2,0,0,3,4740,0,2003,0,Redmond,WA 98053,7.821522699,1200000
4,3,3370,7920,1,0,3,3,1860,1510,1988,2000,Seattle,WA 98117,7.974418117,1325000
4,3.5,4390,11600,2,0,3,3,3060,1330,1990,2009,Mercer Island,WA 98040,7.401906422,1610000
2,1,720,7200,1,0,0,5,720,0,1943,0,Renton,WA 98058,6.244470507,199000
3,1.75,1260,6908,1,0,0,3,1260,0,1994,0,Maple Valley,WA 98038,6.850612188,245000
4,1.5,2670,10026,2,0,0,3,2670,0,1996,0,Auburn,WA 98092,6.997628167,347000.0001
4,1.75,1960,9300,1,0,0,5,1340,620,1979,0,North Bend,WA 98045,6.586427724,372000
3,2.5,2460,4399,2,0,0,3,2460,0,2007,0,Snoqualmie,WA 98065,6.721273834,440500.0001
3,1,1370,3000,1.5,0,0,3,1370,0,1924,2011,Seattle,WA 98103,6.545550229,479000
3,2.5,1740,5782,2,0,0,4,1740,0,1989,0,Issaquah,WA 98029,6.661389457,496699.9999
4,2.5,3670,7000,2,0,0,3,3670,0,2005,0,Sammamish,WA 98075,7.916343913,820000.0001
4,4.25,5584,68257,2,0,0,3,5584,0,1998,2006,Carnation,WA 98014,7.704533524,1680000
3,1.75,1570,8459,1,0,0,3,1570,0,1991,0,Enumclaw,WA 98022,7.089044176,195000
3,2.5,1560,4200,2,0,0,3,1560,0,2003,0,Maple Valley,WA 98038,6.24994398,295000
4,3.5,2630,3435,1.5,0,3,3,1640,990,1984,0,SeaTac,WA 98188,7.735690115,325000
3,2.5,1620,7410,1,0,0,5,1620,0,1955,0,Shoreline,WA 98133,7.524871023,355300.0001
3,3,2980,28000,1,0,0,3,1820,1160,1981,2013,Redmond,WA 98052,7.148115862,674999.9999
3,1,1140,8800,1,0,0,3,1140,0,1972,2002,Auburn,WA 98001,6.534407034,172500
3,1,1140,5000,1,0,0,3,1140,0,1960,2012,Seattle,WA 98106,6.526659269,276000
4,2.5,2100,3916,2,0,0,3,2100,0,2009,0,Renton,WA 98058,7.155884347,346000.0001
3,2.5,1780,4050,2,0,0,3,1780,0,2001,0,Shoreline,WA 98155,7.196126429,370000
3,1.5,1690,9144,1,0,0,4,1140,550,1956,0,Kenmore,WA 98028,7.755012679,379950
2,1.5,2730,19877,1,0,0,4,1570,1160,1976,1992,Duvall,WA 98019,6.298963315,459999.9999
4,2.5,2700,8810,2,0,0,3,2700,0,2004,2003,Redmond,WA 98052,6.022545615,690000
3,2,2130,35169,1,0,0,4,2130,0,1989,0,Woodinville,WA 98072,7.919692933,880000.0001
2,1,1180,9350,1,0,0,3,1180,0,1918,0,Seattle,WA 98178,6.039673228,160000
3,1,910,5250,1,0,0,4,910,0,1971,0,Burien,WA 98166,6.54046449,244000
3,1,960,8100,1,0,0,3,960,0,1955,2005,Shoreline,WA 98155,6.505208118,255000
3,2,1630,8018,1,0,0,3,1630,0,2003,0,Pacific,WA 98047,6.594944723,260000
3,2.5,1658,2700,2,0,0,3,1658,0,2014,0,Des Moines,WA 98198,6.028992568,263900
3,2.5,1440,7741,1,0,0,4,1000,440,1983,0,Kent,WA 98031,6.470325431,265000
4,2,1930,6600,1,0,0,4,1030,900,1967,0,Burien,WA 98168,7.282104033,268000
3,1.75,1670,7415,1,0,0,3,1320,350,1987,2000,Covington,WA 98042,6.612528304,274950
3,1,1200,6250,1,0,0,3,920,280,1943,2002,Seattle,WA 98168,7.732405794,280000
3,2.5,1680,15711,1,0,0,3,1240,440,1994,0,Kent,WA 98031,7.465209113,282000
4,2.5,1982,6406,2,0,0,3,1982,0,2004,2003,Kent,WA 98030,6.066029908,283200
5,3,2840,7199,1,0,0,3,1710,1130,2003,0,Tukwila,WA 98178,6.313290689,292050
5,1,1410,6400,1,0,0,5,960,450,1955,0,Des Moines,WA 98198,6.450548336,295832
3,1,900,7500,1,0,0,4,900,0,1972,0,Kirkland,WA 98034,7.626916963,304000
4,1,2100,9288,1,0,0,4,1050,1050,1968,0,Renton,WA 98058,6.563261815,305000.0001
3,1.5,1255,1374,3,0,0,3,1255,0,2004,2003,Seattle,WA 98125,6.92472366,312000
4,2.5,1630,4473,2,0,0,3,1630,0,2003,0,Maple Valley,WA 98038,7.856155238,312900
3,1.75,1320,6205,1,0,0,5,1320,0,1948,1985,Shoreline,WA 98133,6.533499304,312999.9999
3,1.75,1780,13095,1,0,0,4,1780,0,1983,0,Kent,WA 98042,6.114127865,325000
2,1,880,7683,1,0,0,3,880,0,1942,1999,Seattle,WA 98177,7.142739152,326100
3,1,1810,12375,2,0,0,3,1810,0,1970,2014,Woodinville,WA 98072,6.392556834,326500
4,2.5,1720,9600,1,0,0,3,1120,600,1961,2004,Auburn,WA 98092,6.482026482,328211.9048
3,1,1600,5952,1,0,0,4,1150,450,1964,0,Seattle,WA 98106,7.671921526,329000
4,2,2330,6250,1,0,0,4,1400,930,1941,1998,Kent,WA 98030,7.393825072,344950
2,1.5,1180,844,2,0,0,3,990,190,2005,0,Seattle,WA 98144,6.09368612,345000
4,2.25,1810,4970,2,0,0,3,1810,0,2003,0,Renton,WA 98059,6.94210626,354999.9999
3,1,1570,9467,1,0,0,3,1570,0,1954,2005,Shoreline,WA 98177,7.533967284,360000
3,1,1050,9206,1.5,0,0,3,1050,0,1954,2005,Seattle,WA 98125,7.255256181,360000
2,2.25,1280,835,2,0,0,3,1080,200,2009,0,Seattle,WA 98118,6.340426516,370000
3,1.5,2000,7294,1,0,0,3,1520,480,1965,1993,Seattle,WA 98118,7.073732358,375000
3,1.75,1440,8775,1,0,0,3,1440,0,1973,2013,Kirkland,WA 98034,6.725139101,375000.0001
5,2,2330,10750,1,0,0,4,1190,1140,1962,0,Kenmore,WA 98028,6.781275514,389000
4,2.5,2870,9292,2,0,0,3,2540,330,1979,2014,Renton,WA 98058,6.55849658,399000
3,3,1296,1051,3,0,0,3,1296,0,2009,0,Seattle,WA 98125,7.752708834,399950
2,1,1470,6120,1,0,0,2,1470,0,1940,0,Seattle,WA 98115,7.921153912,400000
3,1.75,1980,8100,1,0,0,4,1310,670,1949,1985,Shoreline,WA 98133,7.097482313,404999.9999
2,1,910,6490,1,0,0,3,910,0,1942,1999,Seattle,WA 98115,7.462753495,405000
3,2.25,1950,8868,1,0,0,3,1350,600,1964,2000,Shoreline,WA 98155,7.024155988,415000
5,1.5,1900,10226,1,0,0,3,1130,770,1961,2004,Kirkland,WA 98034,6.092162104,415000
3,2.5,1870,5449,2,0,0,3,1870,0,2003,0,Bothell,WA 98011,7.379252621,425000
3,1,1270,4000,1.5,0,2,3,1270,0,1928,1954,Seattle,WA 98126,7.093506535,435000
3,1.75,1650,12940,1,0,0,4,1650,0,1961,2001,Kenmore,WA 98028,7.596956042,438000
4,2.5,2520,8515,2,0,0,3,2520,0,1999,0,Duvall,WA 98019,6.993825614,450000
4,3.25,2510,5311,2,0,0,3,2510,0,2009,0,Renton,WA 98056,7.961571757,450800
3,2,1460,10311,1,0,0,4,1460,0,1975,0,Redmond,WA 98052,6.537449049,455500
3,2.5,2420,8252,2,0,0,3,2420,0,1998,2006,Snoqualmie,WA 98065,7.130913342,455600
3,1.75,1840,4030,1,0,0,5,1050,790,1925,0,Seattle,WA 98108,6.183087908,457500
3,3.5,1600,1431,2,0,0,3,1240,360,2006,0,Seattle,WA 98117,6.454857452,460000
3,2,1560,8640,1,0,0,5,1560,0,1967,0,Kirkland,WA 98034,6.715297245,465000
2,1,1160,6000,1,0,0,4,860,300,1942,1982,Seattle,WA 98115,7.189056141,468000
4,2.75,1720,6270,2,0,0,3,1720,0,1978,0,Seattle,WA 98118,6.588846017,476999.9999
3,1,1150,4945,1,0,2,3,1150,0,1943,2002,Seattle,WA 98126,7.494733779,480000.0001
3,2.5,1590,2550,3,0,0,3,1590,0,1985,0,Seattle,WA 98117,7.454719151,488000
4,2.25,1940,9144,1,0,0,4,1430,510,1956,0,Bellevue,WA 98007,6.935097537,495000
3,2.5,1750,1548,3,0,0,3,1750,0,2013,1923,Seattle,WA 98118,7.399654901,494999.9999
3,3.5,1820,1501,2,0,0,3,1430,390,2014,0,Seattle,WA 98144,6.323712602,499950
3,2.25,1760,4539,2,0,0,3,1760,0,1988,2000,Issaquah,WA 98029,7.890107205,500000
4,2.5,3200,6473,2,0,0,3,3200,0,2005,0,Renton,WA 98059,6.872789634,515000.0001
5,3,2750,3800,1.5,0,0,5,1750,1000,1926,0,Seattle,WA 98115,7.707146592,524999.9999
4,2.5,2340,5600,2,0,0,3,2340,0,1921,2013,Seattle,WA 98146,6.470284282,535000.0001
4,4.25,1960,3565,2,0,0,3,1960,0,1940,2003,Seattle,WA 98116,6.446439749,540000
5,4.5,4850,40902,2,0,0,3,4850,0,2001,0,Federal Way,WA 98023,6.350037287,569950.0002
3,1.75,1930,36210,1,0,0,3,1930,0,1977,2004,Woodinville,WA 98072,7.625666926,569999.9999
3,1.75,1850,7735,1,0,0,4,1850,0,1983,0,Issaquah,WA 98027,7.832067101,585000
3,3.5,2710,3475,2,0,0,3,1650,1060,2005,0,Issaquah,WA 98027,7.926366907,627000.0001
4,2.5,2740,12899,2,0,0,4,2740,0,1990,0,Sammamish,WA 98075,6.750063348,673476.8182
3,2.5,2540,7680,2,0,1,4,2540,0,1940,2001,Seattle,WA 98177,7.096806517,675000
3,2.5,2810,7700,2,0,0,3,2810,0,2001,0,Bellevue,WA 98006,7.031081823,685000
4,3,3000,4000,1.5,0,3,3,1970,1030,1913,2014,Seattle,WA 98144,7.588853675,688000
2,2.5,2160,5581,1,0,0,3,2160,0,2002,0,Redmond,WA 98053,6.818725042,715000
3,1.5,2500,4774,1.5,0,2,3,1450,1050,1940,1996,Seattle,WA 98107,7.975603467,725000
3,2.5,2330,1987,2,0,4,3,1410,920,2004,2003,Seattle,WA 98107,6.652148736,731999.9999
5,2.75,3390,5211,2,0,0,3,3390,0,2004,2003,Sammamish,WA 98075,6.301528738,735000
2,2,1880,5400,1.5,0,0,3,1880,0,1902,0,Seattle,WA 98112,7.136924313,751750
3,2.5,2610,7256,2,0,0,3,2610,0,2014,0,Kirkland,WA 98033,6.205856474,754949.9999
4,2.5,3330,7399,2,0,0,3,3330,0,2009,0,Redmond,WA 98052,6.155918917,760000
3,3,2520,2152,1.5,0,0,3,1560,960,1925,2006,Seattle,WA 98119,6.664515867,780000
4,2.5,2680,7200,1,0,0,3,1380,1300,1952,2013,Kirkland,WA 98033,6.52549683,800000
4,2.5,1850,50662,1,0,0,3,1430,420,1978,0,Redmond,WA 98052,7.24211363,829999.9999
4,3,3720,29043,2,0,0,3,3720,0,1991,0,Kirkland,WA 98033,7.909404997,856999.9998
5,4,3720,15200,2,0,0,3,3720,0,2005,0,Sammamish,WA 98075,6.528786741,960000
3,3.75,3250,5797,2,0,2,4,2370,880,1951,1999,Seattle,WA 98199,6.51444597,967500
5,3,3480,15185,2,0,0,4,3480,0,1964,0,Mercer Island,WA 98040,7.977799128,970000
3,2.25,2510,6339,1.5,0,2,5,1810,700,1932,2002,Seattle,WA 98199,7.230827194,994000
4,2.5,2920,7200,1,0,3,3,1470,1450,1921,2006,Seattle,WA 98144,7.007174479,1050000
4,3,5940,11533,2,0,4,3,4950,990,2004,2003,Snoqualmie,WA 98065,6.607924807,1149000
3,3.25,3790,19000,2,0,4,3,3790,0,1985,0,Seattle,WA 98177,7.601940945,1600000
5,4.5,4590,14685,2,0,0,3,4590,0,2009,0,Kirkland,WA 98033,7.925243743,1710000
2,1,780,6685,1,0,0,4,780,0,1948,0,Auburn,WA 98002,6.297798783,87500
2,1,720,4222,1,0,0,4,720,0,1942,1982,Renton,WA 98056,6.114156144,127160
3,1,820,7680,1.5,0,0,3,820,0,1910,2006,Seattle,WA 98106,7.068608379,150000
2,1,740,9003,1,0,0,3,740,0,1949,1998,Kent,WA 98031,7.35431612,157499.9999
3,1,1100,10125,1,0,0,3,1100,0,1969,2010,Covington,WA 98042,7.621599139,168500
2,1,830,2699,1,0,0,3,830,0,1996,0,Maple Valley,WA 98038,6.041156143,175000
