number of rooms,security level of the community,residence space,noise level,view,aboveground space ,basement space,building year,total cost
4,4.5,5420,1.0,0,3890,1530,2001,1225000.0
4,2.25,3070,1.0,3,1870,1200,1976,1225000.0
4,3.75,3490,2.0,0,3490,0,2012,1264000.0
4,3.5,3460,2.0,0,2560,900,2004,1315000.0
5,1.75,3380,1.0,0,1690,1690,1963,1346400.0
2,1.0,790,1.0,0,790,0,1973,89999.99997
2,1.0,910,1.0,0,910,0,1943,155000.0
4,1.5,1950,1.5,0,1950,0,1939,225000.0
3,1.0,1660,1.0,0,1100,560,1963,225000.0
3,1.5,1250,1.0,0,1250,0,1967,225000.0
3,1.0,1040,1.0,0,1040,0,1947,225000.0
2,0.75,650,1.0,0,650,0,1931,230000.0
3,1.0,1900,1.5,0,1900,0,1942,239950.0001
5,1.75,2020,1.0,0,1220,800,1962,245000.0001
4,2.25,2510,1.0,0,1610,900,1972,267345.0001
3,1.0,1090,1.0,0,1090,0,1973,285000.0
3,2.25,1490,1.0,0,1170,320,1987,287000.0
3,2.5,1950,2.0,0,1950,0,1990,287600.0
3,1.0,1090,1.0,0,1090,0,1981,289000.0
3,1.0,1390,1.0,0,1390,0,1968,318999.9999
3,2.0,1350,1.0,0,1350,0,1989,322500.0
3,2.5,1450,1.0,0,840,610,2007,330000.0
3,1.75,1090,1.0,0,1090,0,1968,345000.0
3,2.5,2010,2.0,0,2010,0,1977,350000.0
3,1.75,1650,1.0,0,1060,590,1951,370000.0
5,2.5,3001,2.0,0,3001,0,2006,373000.0
3,1.0,1190,1.0,0,1190,0,1953,375000.0
3,2.0,1480,1.0,2,740,740,1943,385000.0
4,1.75,2180,1.0,0,1090,1090,1956,405000.0
4,1.0,1410,1.0,0,810,600,1925,413000.0
3,1.75,1960,1.0,0,980,980,1911,415000.0
4,2.25,2140,2.0,0,2140,0,2002,435000.0001
3,2.0,1770,1.0,0,960,810,1954,449500.0
3,2.25,2450,1.0,0,2450,0,1978,450000.0001
3,2.75,1250,2.0,0,1040,210,2010,450000.0
4,2.5,3360,2.0,0,3360,0,2001,455000.0
3,2.25,2350,1.0,0,1390,960,1977,460000.0001
5,2.5,3400,1.0,0,1700,1700,1959,464000.0
4,2.5,3740,1.0,0,2260,1480,2004,475000.0
5,4.75,3830,1.0,0,2130,1700,1976,480000.0001
4,2.5,2040,2.0,0,2040,0,2012,502000.0
4,2.5,2790,2.0,0,2790,0,2009,504999.9999
3,3.5,2876,2.0,0,2360,516,2007,525000.0
5,3.0,2450,2.0,0,2450,0,1994,525000.0
3,2.5,1580,2.0,0,1010,570,2008,525000.0
3,1.75,1690,1.0,0,1690,0,1958,529999.9999
2,2.0,1680,1.0,0,1680,0,2006,530000.0
7,4.0,3440,2.0,0,3440,0,1970,549999.9999
4,2.0,2250,1.0,0,1200,1050,1956,550000.0
3,2.5,1490,3.0,0,1490,0,2004,554250.0
3,1.0,1440,2.0,0,1440,0,1910,559999.9999
3,2.0,1530,1.0,0,1530,0,1937,570000.0
3,1.75,1580,1.0,0,1180,400,1951,575000.0
5,2.0,2290,1.0,0,1190,1100,1964,580000.0
4,1.75,2090,1.0,0,1070,1020,1963,581000.0
4,2.25,2710,2.0,0,2710,0,1977,590999.9998
3,1.75,1680,1.0,0,870,810,1922,591000.0
3,1.0,1710,1.5,0,1710,0,1909,620000.0001
3,3.5,1810,2.0,0,1440,370,2009,625000.0
4,2.0,2260,1.0,0,1430,830,1958,628000.0
4,1.75,1950,1.0,0,1370,580,1969,634999.9999
3,2.5,1740,2.0,0,1740,0,1975,645000.0001
4,2.5,2210,2.0,0,2210,0,2013,650000.0
4,2.5,2740,2.0,0,2740,0,1993,651000.0
4,3.5,3400,2.0,0,3400,0,2012,660000.0
3,2.0,1940,1.5,0,1150,790,1944,665000.0
5,3.0,3410,1.0,0,1870,1540,1968,675000.0
4,2.5,3000,2.0,0,3000,0,2006,675000.0
3,2.5,2030,2.0,0,2030,0,1975,700000.0
3,3.25,3190,2.0,0,3190,0,2007,756999.9998
3,3.25,3610,2.0,0,2440,1170,2003,776999.9999
3,1.75,2340,1.0,0,2340,0,1967,780000.0001
6,3.0,2890,2.5,0,2290,600,1906,799200.0001
5,2.75,3150,2.0,0,3150,0,2013,819900.0
4,2.5,3560,1.0,2,2290,1270,1986,860000.0
4,2.5,3520,2.5,0,2650,870,2006,870000.0001
4,2.5,3490,2.0,3,3490,0,2000,974999.9999
4,3.25,4400,2.0,0,4400,0,2003,1050000.0
5,4.25,3530,2.0,0,3530,0,2001,1400000.0
5,3.25,4860,2.0,2,3820,1040,1989,1680000.0
3,1.0,1100,1.0,0,1100,0,1978,139000.0001
2,1.0,700,1.0,0,700,0,1952,155000.0
3,1.0,860,1.0,0,860,0,1963,159999.9999
2,1.0,1170,1.0,2,1170,0,1911,175000.0
2,1.0,1240,1.0,0,1240,0,1967,215000.0
3,1.75,1340,1.0,0,1340,0,1973,223000.0
4,2.0,1630,1.0,0,1050,580,1975,234000.0
4,2.5,2230,2.0,0,2230,0,2006,253000.0
3,2.0,1850,1.0,0,1150,700,1952,257200.0
3,2.0,1570,1.0,0,1570,0,1998,265000.0
3,2.5,1780,1.0,0,1400,380,1986,266000.0001
2,1.0,700,1.0,0,700,0,1949,267800.0
3,1.0,1260,1.0,0,1260,0,1946,300000.0
3,1.75,2110,2.0,0,2110,0,1966,305494.9999
3,1.5,1220,3.0,0,1220,0,2007,306000.0
3,1.0,1480,1.0,0,1480,0,1952,310000.0
3,1.0,1050,1.0,0,1050,0,1953,310000.0
4,2.5,2010,2.0,0,2010,0,1995,316000.0
3,2.5,1840,2.0,0,1840,0,2012,317000.0
3,2.5,2220,2.0,0,2220,0,1990,325000.0001
5,2.0,1700,1.0,0,1000,700,1956,337500.0001
3,1.0,1050,1.5,0,1050,0,1906,339950.0
3,2.25,1970,2.0,0,1970,0,1997,340000.0001
3,2.25,2120,2.0,0,2120,0,1984,344999.9999
5,3.0,2257,1.0,0,1363,894,2005,349950.0
3,3.5,2100,2.0,0,2100,0,1980,356000.0
4,1.75,2010,1.0,0,1340,670,1957,364000.0
3,1.0,1290,1.0,0,980,310,1951,372220.0
3,2.5,1690,2.0,0,1150,540,2014,372977.0001
4,1.75,1620,1.0,0,860,760,1947,385000.0
4,2.5,3040,2.0,0,3040,0,1999,420000.0001
3,2.75,2580,2.0,0,2580,0,2008,437000.0
3,2.5,2910,2.0,0,2910,0,1989,450000.0
3,1.0,1660,1.0,0,1060,600,1940,458000.0
4,2.5,2310,2.0,0,2310,0,1991,470000.0
4,2.5,2150,1.0,0,1420,730,1978,486000.0001
3,2.75,1850,1.5,0,1850,0,1965,489200.0
4,2.75,2270,1.0,0,1290,980,1973,497999.9999
3,2.0,2090,1.5,0,2090,0,1959,498999.9999
3,1.75,2170,1.0,0,1450,720,1986,510000.0
3,2.5,1820,2.0,0,1820,0,2005,511000.0
3,1.75,1600,1.5,0,1600,0,1924,525000.0
4,2.75,2450,1.0,0,2450,0,1974,530000.0
4,1.75,1900,1.0,0,950,950,1955,542000.0
2,2.0,2370,1.5,0,1600,770,1992,542999.9995
3,2.5,2090,1.0,0,1360,730,1962,543000.0
3,1.75,2000,1.0,0,1110,890,1921,546000.0
3,1.5,1830,1.0,0,1830,0,1957,562000.0
4,2.5,2240,2.0,0,2240,0,1989,565000.0001
5,1.75,2220,1.5,0,1420,800,1923,607500.0
5,2.5,2540,2.0,0,1760,780,1929,620000.0
4,2.75,1680,1.0,0,1680,0,1966,624999.9999
4,2.5,2470,2.0,0,2470,0,1993,633099.9999
3,1.75,1830,1.5,2,1830,0,1903,682000.0
3,1.5,2360,2.0,0,1930,430,1926,702500.0
4,3.25,3200,2.0,0,3200,0,2004,706999.9999
4,2.25,2060,1.0,0,1360,700,1941,715000.0
4,2.5,2700,2.0,0,2700,0,2004,723000.0
5,5.0,5774,1.0,2,4490,1284,1984,740000.0001
4,2.5,3430,2.0,0,3430,0,2000,740000.0
3,2.5,3030,1.5,0,3030,0,1992,766950.0
3,2.75,2470,2.0,0,2470,0,2007,773000.0
3,2.5,2580,2.0,0,2580,0,1986,802000.0
4,2.5,2190,2.5,0,2190,0,1958,924999.9999
3,2.5,3100,1.0,0,3100,0,1954,930000.0001
4,2.5,3320,2.0,0,3320,0,1995,949999.9999
5,2.25,2510,2.0,0,2510,0,1972,954999.9999
5,4.5,3810,2.0,0,3810,0,2008,965999.9999
4,2.25,4470,2.0,0,4470,0,1988,1120000.0
4,3.5,4910,1.5,0,3110,1800,2007,1222500.0
3,1.0,1040,1.0,0,1040,0,1959,148612.5
3,1.0,1060,1.0,0,1060,0,1970,174949.9999
3,1.0,1150,1.0,0,1150,0,1932,185000.0
3,1.0,1090,1.0,0,1090,0,1967,190000.0
3,1.0,980,1.5,0,980,0,1903,197500.0
4,2.0,1670,1.0,0,1670,0,1967,204700.0
3,1.0,1160,1.0,0,1160,0,1969,215000.0
3,2.0,1400,1.0,0,1150,250,1979,225000.0
3,2.0,1400,1.0,0,700,700,1948,240000.0001
3,1.75,1490,1.0,0,1490,0,1990,245000.0
3,1.0,1230,1.0,0,1230,0,1957,250000.0
3,2.0,1650,1.0,0,1160,490,1979,252350.0
4,2.5,2070,2.0,0,2070,0,1989,255000.0001
3,2.5,1690,2.0,0,1690,0,2003,256883.0
3,2.25,1590,2.0,0,1590,0,1991,263000.0
3,1.0,1010,1.0,0,1010,0,1969,270000.0
4,2.5,1840,2.0,0,1400,440,2004,274750.0001
3,1.0,1330,1.5,0,1330,0,1959,279999.9999
3,1.5,850,1.0,0,850,0,1986,295000.0
3,1.0,1220,1.0,0,1220,0,1955,300000.0001
3,2.0,1510,1.0,2,1230,280,1973,300000.0001
4,1.75,2020,1.0,0,1010,1010,1963,302000.0
3,2.25,1490,2.0,0,1220,270,2009,312000.0
2,1.0,880,1.0,0,880,0,1919,312500.0
4,2.5,2150,2.0,0,2150,0,1991,316500.0
3,1.75,1960,1.0,0,980,980,1948,340000.0
3,2.25,1180,2.0,0,1180,0,1986,342400.0
4,1.75,2290,1.0,0,1340,950,1960,343000.0
3,2.5,1232,3.0,0,1232,0,2007,344000.0
3,2.5,1700,2.0,0,1700,0,1994,349950.0
3,1.0,1400,1.0,0,1400,0,1957,349950.0
4,2.5,2710,2.0,0,2710,0,1998,370000.0001
4,1.75,1890,1.0,0,1250,640,1960,375000.0
3,2.5,1720,2.0,0,1720,0,2010,386380.0
3,2.5,2240,2.0,0,2240,0,1996,390000.0001
3,1.5,1120,1.0,0,1120,0,1955,395300.0
3,1.0,1630,1.0,0,1630,0,1953,400000.0
3,1.5,1490,1.0,0,1490,0,1963,412500.0
3,1.5,1340,1.0,0,1340,0,1956,417000.0
4,1.75,1880,1.0,0,1010,870,1976,423000.0
2,1.0,1320,1.0,1,1320,0,1912,451555.0
3,2.5,1870,1.0,0,1470,400,1980,455000.0001
3,1.75,1410,1.0,0,1410,0,1924,464999.9999
3,1.5,1260,1.0,0,1260,0,1959,465750.0
3,1.0,1660,1.0,0,1000,660,1946,467000.0
7,3.5,2870,1.0,0,1520,1350,1961,475000.0
4,2.0,2050,1.5,0,1210,840,1941,495000.0
4,2.5,2240,2.0,0,2240,0,1995,497000.0
3,2.5,1840,2.0,0,1840,0,1997,512500.0
3,2.5,2700,2.0,0,2700,0,1991,525000.0001
3,2.0,1640,1.0,0,1640,0,1977,540833.3332
3,2.25,1980,1.0,0,1980,0,1980,550000.0
4,2.5,3020,1.0,0,1600,1420,1979,574999.9999
2,1.0,1490,1.0,0,1090,400,1946,575000.0
3,2.5,2360,2.0,3,2360,0,1996,580050.0
4,2.75,2550,1.0,0,1440,1110,1986,582800.0
5,1.75,2000,2.0,0,2000,0,1921,585000.0
4,2.5,2240,1.0,0,2240,0,1983,592500.0
4,2.0,1550,1.5,0,1550,0,1909,612999.9999
4,2.5,2680,2.0,0,2680,0,1989,620000.0001
4,2.0,2560,1.0,0,1890,670,1947,640000.0001
4,3.25,2740,2.0,0,2060,680,2003,689899.9999
3,2.5,4560,2.0,0,3800,760,1986,695000.0
4,3.0,3150,2.0,0,3150,0,2001,694999.9999
4,2.5,3240,2.0,0,3240,0,1985,749399.9999
5,3.75,3580,2.0,0,3190,390,1999,764999.9999
4,2.5,3310,2.0,0,3310,0,2004,803099.9999
5,2.75,3030,2.0,0,3030,0,2013,819995.0
4,3.5,3930,2.0,1,2820,1110,2013,828950.0
4,1.75,2930,1.0,3,1670,1260,1947,840000.0001
4,2.5,3950,3.0,0,3950,0,2013,914500.0
5,4.25,3920,2.0,0,2900,1020,1990,1000000.0
4,3.25,3740,1.0,0,2000,1740,1988,1085000.0
4,2.5,3200,2.0,0,3200,0,2006,1255000.0
2,1.0,1010,1.0,0,1010,0,1955,174500.0
3,1.0,1000,1.0,0,1000,0,1940,180000.0
5,1.75,1730,1.0,0,1050,680,1978,204999.9999
3,2.0,1020,2.0,0,720,300,2004,238000.0
4,2.25,1860,1.0,0,1120,740,1979,239899.9999
5,1.0,1460,2.0,0,1460,0,1941,239950.0
2,1.0,870,1.0,0,870,0,1941,245000.0
4,3.5,1850,2.0,0,1130,720,1986,248000.0
3,2.25,1440,1.0,0,940,500,1982,249000.0
3,2.0,1900,1.0,0,950,950,1966,249999.9999
2,1.5,1070,1.0,0,1070,0,1985,252700.0
4,2.0,1510,1.0,0,1510,0,1955,254000.0
3,2.5,1480,2.0,0,1480,0,1987,275000.0
2,1.0,830,1.0,0,830,0,1954,282613.0
3,2.5,1870,2.0,0,1870,0,2005,306000.0
3,2.25,2060,1.0,0,1560,500,1978,306499.9999
4,2.5,2340,2.0,0,2340,0,2003,314000.0001
3,2.0,1760,1.0,0,1060,700,1977,317000.0001
3,1.0,1250,1.0,0,1250,0,1951,326428.5715
3,1.5,1170,1.0,0,1170,0,1960,330000.0
3,2.5,1480,2.0,0,1180,300,2012,341000.0
3,1.0,1260,1.0,0,720,540,1944,342000.0
4,1.0,1980,1.5,0,1980,0,1962,345000.0
4,2.5,2440,2.0,0,2440,0,2009,350000.0
4,1.5,1370,1.0,0,900,470,1972,370000.0
4,2.5,2790,2.0,0,2790,0,2005,375000.0
3,1.5,1100,2.0,0,940,160,2007,375000.0
3,2.25,1410,2.0,0,1290,120,2005,377499.9999
3,3.25,1860,3.0,0,1860,0,2007,379950.0001
3,1.75,1180,1.0,0,940,240,1981,385000.0
3,2.5,2740,2.0,4,2740,0,1973,400000.0001
3,2.5,1800,2.0,0,1800,0,1990,408200.0
3,2.5,2670,1.0,0,2670,0,1988,425000.0001
4,2.5,2280,2.0,0,2280,0,2001,432999.9999
3,2.5,2320,2.0,2,2320,0,1992,437499.9999
3,1.75,2150,1.0,0,1200,950,1956,440825.0
3,3.0,1970,1.0,0,1970,0,2010,445000.0
3,2.25,1990,2.0,0,1990,0,1984,445000.0001
4,2.25,2270,1.0,0,1290,980,1977,446000.0
3,1.75,1560,1.5,2,1000,560,1926,451000.0
4,2.5,2430,2.0,0,2430,0,2009,480000.0001
3,2.0,1450,1.5,0,1450,0,1900,489999.9999
3,2.5,2370,2.0,0,2370,0,2003,522500.0001
3,1.5,1260,1.5,0,1260,0,1931,523000.0
1,1.0,1140,1.5,0,1140,0,1920,540000.0
2,2.0,2260,1.0,0,2260,0,1990,551000.0001
3,2.25,1520,3.0,0,1520,0,2013,565000.0
4,2.5,2110,2.0,0,2110,0,2000,577437.4999
3,2.5,2134,2.5,0,2134,0,2008,611000.0
3,2.5,2720,2.0,0,2720,0,2005,619000.0
3,2.5,2170,2.0,0,2170,0,2003,619499.9999
3,2.25,1720,1.5,0,1450,270,1921,620000.0
4,2.5,3160,2.0,0,3160,0,1983,645000.0
5,2.5,3200,2.0,0,3200,0,2009,674999.9999
2,1.0,2020,1.0,3,1700,320,1947,719999.9999
3,2.0,2050,1.0,0,1180,870,1926,724799.9999
5,2.75,2830,2.0,0,2830,0,2006,725000.0
4,2.5,3120,2.0,0,3120,0,2003,730100.0
3,2.0,2180,1.0,0,1100,1080,1904,785000.0001
4,3.25,3120,2.0,0,2370,750,2005,799000.0
5,1.5,3360,2.0,0,3360,0,2014,804995.0
4,2.75,3280,2.0,0,3280,0,1996,862500.0001
3,2.0,2220,1.0,2,1220,1000,1947,875000.0
4,3.0,5520,2.0,3,3570,1950,2008,1270000.0
5,4.25,6490,2.0,3,3940,2550,1991,2000000.0
3,2.0,1700,1.0,0,890,810,1944,410000.0
5,2.5,1970,2.0,0,1970,0,1994,297000.0
3,2.25,1410,1.0,2,1170,240,1987,352500.0
3,2.5,2480,2.0,0,2480,0,1986,415000.0
2,2.0,1360,1.0,0,780,580,1944,488000.0
3,2.5,2130,1.0,0,1210,920,1994,534640.0
4,2.5,2060,1.0,0,1440,620,1985,575550.0
3,2.0,1940,1.0,0,1940,0,1954,732000.0001
2,1.0,680,1.0,0,680,0,1941,110700.0
3,1.0,950,1.0,0,950,0,1954,137000.0
2,1.0,930,1.0,0,930,0,1942,141800.0
2,1.0,910,1.0,0,910,0,1981,176400.0
3,1.5,2200,1.5,0,2200,0,1932,193000.0001
3,1.0,1080,1.0,0,1080,0,1942,210000.0001
2,2.25,1610,2.0,0,1610,0,1979,215000.0
3,1.0,970,1.0,0,970,0,1970,215000.0
2,2.0,1470,2.0,0,1470,0,2005,241000.0
3,2.25,1580,2.0,0,1580,0,1986,247000.0
4,1.5,1310,1.0,0,1060,250,1953,251200.0
2,1.0,1120,1.0,0,1120,0,1980,256500.0001
4,1.75,2420,1.0,0,1480,940,1979,257500.0
3,2.5,1720,2.0,0,1720,0,2005,280000.0
3,2.5,1270,2.0,0,1270,0,1993,280000.0
4,1.75,2080,1.0,0,1040,1040,1955,285000.0
1,1.5,810,2.0,0,810,0,1982,285000.0
5,1.5,2120,1.5,0,2120,0,1962,290000.0
4,2.5,1700,2.0,0,1700,0,1988,290000.0
3,2.75,2170,1.0,0,1380,790,1978,296500.0001
5,3.0,2100,1.0,0,1200,900,2007,298450.0
3,1.75,1610,1.0,0,1610,0,1981,305000.0
3,1.0,1370,1.0,0,1370,0,1960,307000.0
4,1.75,2310,1.0,0,1650,660,1976,319949.9999
3,2.5,2680,2.0,0,2680,0,1990,319999.9999
4,2.0,1580,2.0,0,1580,0,1906,332999.9999
4,2.5,1830,2.0,0,1830,0,2003,339000.0
3,2.25,1640,2.0,0,1640,0,1985,350000.0
4,2.75,2070,1.0,0,1120,950,1945,366500.0001
2,1.5,1660,1.0,0,830,830,1908,367999.9999
3,2.5,1670,2.0,0,1670,0,1999,373000.0
3,2.5,1690,2.0,0,1150,540,2014,386591.0001
4,2.5,2490,2.0,0,2490,0,1999,390000.0
4,2.75,2500,2.0,0,2500,0,1966,411000.0
3,2.5,1920,2.0,0,1920,0,1995,429000.0001
3,2.5,2200,2.0,0,2200,0,2009,433500.0
2,1.5,1010,1.5,0,1010,0,1906,440000.0
3,1.75,1800,1.0,0,1800,0,1967,442500.0
5,2.75,2190,1.0,0,1370,820,1978,446000.0001
3,1.5,1710,1.5,0,1410,300,1928,462000.0
5,1.75,1250,1.0,0,1250,0,1966,462000.0
3,1.75,1630,1.0,0,1630,0,1967,464000.0
4,2.5,3060,1.0,0,1700,1360,1968,475000.0001
2,1.0,1490,1.0,0,860,630,1929,475000.0
3,2.5,1350,3.0,0,1350,0,2005,477000.0
3,2.25,1450,2.0,0,980,470,2005,482500.0
3,1.75,2200,2.0,2,2200,0,1908,485000.0
3,1.0,1500,1.5,0,1370,130,1926,485000.0
2,2.25,1260,3.0,0,1260,0,2004,485000.0
4,2.0,1690,1.5,0,1550,140,1901,487250.0
3,2.5,1680,2.0,0,1380,300,2008,518000.0
3,1.75,1890,1.0,0,1290,600,1974,524950.0001
3,3.5,2320,2.0,0,2060,260,1997,530000.0
4,1.0,1660,1.5,0,1260,400,1945,560000.0
4,2.25,2110,2.0,0,2110,0,1979,565000.0
3,2.25,2030,1.0,0,1500,530,1984,572500.0
4,2.5,2500,2.0,0,2500,0,2013,574999.9999
3,2.25,2030,1.0,0,1190,840,1977,588000.0
5,1.75,3290,1.5,0,3290,0,1973,601999.9999
4,2.5,2460,2.0,0,2460,0,1998,610999.9999
4,2.5,3430,2.0,0,3430,0,2013,646212.5
3,2.0,1610,1.5,0,1610,0,1940,690000.0
4,3.25,5010,2.0,0,5010,0,1988,692000.0001
3,1.75,2010,1.0,0,1230,780,1912,700000.0
4,2.5,2660,2.0,0,2660,0,1993,755000.0
5,2.0,3370,1.5,0,2140,1230,1907,762000.0001
4,2.5,3480,2.0,0,3480,0,1988,809999.9999
2,2.5,2380,1.0,2,2380,0,2011,818000.0
4,3.5,2640,2.0,2,2640,0,1937,849999.9999
5,3.25,4180,2.0,0,2880,1300,1979,869000.0001
4,2.75,2730,1.5,0,1550,1180,1921,885000.0001
2,1.75,2430,1.0,4,2430,0,1951,1000000.0
4,2.5,3190,1.0,3,1680,1510,1967,1216000.0
4,3.5,3410,2.0,0,3410,0,2008,1405000.0
3,1.75,1140,1.0,0,1140,0,1969,120750.0
2,1.0,950,1.0,0,950,0,1926,192500.0
1,1.0,820,1.0,0,760,60,2007,194000.0
3,1.0,1050,1.0,0,1050,0,1967,200000.0
4,2.0,1700,1.0,0,1700,0,1978,206000.0
3,1.5,1650,1.0,0,1090,560,1967,219950.0
2,1.0,1770,1.5,0,960,810,1943,243000.0
4,1.5,2500,1.0,0,1500,1000,1961,250000.0
4,2.0,1960,1.0,0,1160,800,1978,249999.9999
3,1.0,1320,1.0,0,1320,0,1957,259000.0
4,2.5,1990,2.0,0,1990,0,1989,260000.0
3,1.75,1570,2.0,0,1570,0,1982,263000.0
2,1.0,790,1.0,0,790,0,1953,268500.0
4,2.5,1860,1.0,0,1220,640,1983,268971.875
2,1.0,870,1.5,0,870,0,1906,271310.0
3,2.5,2090,2.0,0,2090,0,2002,289000.0
3,1.75,1560,1.0,0,1560,0,1964,291000.0
3,1.0,910,1.0,0,740,170,1950,299950.0
6,5.25,2860,2.0,0,2860,0,1978,300000.0001
3,1.0,2120,1.0,0,1060,1060,1967,300000.0001
3,1.0,1090,1.0,0,1090,0,1955,300000.0
2,2.5,1590,2.0,0,1220,370,2009,305000.0
3,1.0,1092,1.5,0,1092,0,1918,309000.0
3,2.25,1400,1.0,0,1140,260,1987,314999.9998
2,1.0,790,1.0,0,790,0,1955,315000.0
3,1.75,1280,1.0,0,1280,0,1969,317061.875
3,1.75,1480,1.0,0,1480,0,1965,320000.0
4,2.25,1870,1.0,0,1170,700,1959,325000.0
6,3.0,1880,1.0,0,1880,0,1966,326000.0
4,2.5,1600,1.0,0,830,770,1947,329000.0
3,2.5,2170,2.0,0,2170,0,2004,329900.0
4,2.5,2303,2.0,0,2303,0,2013,329995.0
3,1.0,1180,1.0,0,1180,0,1959,330000.0001
2,1.0,860,1.0,0,860,0,1948,330000.0
3,1.0,1060,1.0,0,1060,0,1967,335000.0
3,1.5,1240,1.0,0,1240,0,1954,345000.0
5,3.5,2800,2.5,0,2800,0,1903,345600.0
4,2.25,2220,2.0,0,2220,0,1999,350000.0
4,1.75,1590,2.0,0,1590,0,1922,372500.0
2,1.0,1150,1.0,0,1150,0,1947,376000.0
4,3.0,2800,2.0,0,2800,0,2002,380000.0001
3,1.75,1690,2.0,0,1380,310,2008,379999.9999
3,2.5,1700,2.0,0,1700,0,2003,384000.0
3,1.5,1490,1.0,0,1490,0,1959,385000.0
2,2.25,1230,2.0,0,960,270,2012,387000.0
4,1.0,1320,1.5,0,1320,0,1929,387500.0
4,2.25,1770,1.0,0,1190,580,1965,390000.0
3,1.5,1080,1.5,0,1080,0,1920,395000.0
2,1.0,1730,2.0,0,1730,0,1945,396674.9999
5,2.5,2430,2.0,0,2430,0,2001,405000.0
3,2.5,1800,2.0,0,1800,0,2014,409316.0
3,2.25,1970,2.0,0,1680,290,2008,415000.0
4,1.75,1940,1.0,0,970,970,1941,423000.0
4,2.5,2800,2.0,0,2800,0,2004,426000.0001
3,1.75,1200,1.0,0,1200,0,1906,430000.0
3,2.0,2010,2.0,0,1510,500,2003,439000.0009
3,1.5,1270,3.0,0,1270,0,2007,439999.9999
2,1.75,1300,2.0,0,1300,0,1948,440000.0
3,1.5,2060,1.0,0,2060,0,1953,450000.0001
4,1.0,1210,1.5,0,1210,0,1900,452000.0
1,2.25,2140,1.0,0,1470,670,1976,458000.0
3,2.25,1270,2.0,0,1040,230,2005,467000.0
4,1.75,1650,1.0,0,1150,500,1950,475000.0
4,2.75,2050,1.0,0,1180,870,1986,480000.0
2,1.75,1480,1.0,0,840,640,1951,483944.9999
5,3.5,4460,3.0,2,3280,1180,2013,489999.9999
3,1.0,1910,1.0,0,1010,900,1946,490000.0
4,1.75,2090,1.5,0,1250,840,1925,494000.0
5,3.5,3200,2.0,0,3200,0,1989,499949.9999
3,2.0,2020,1.0,0,1020,1000,1963,507500.0
4,2.5,2670,2.0,0,2670,0,2006,514999.9999
4,2.0,1820,1.0,0,1820,0,1967,519900.0
4,3.5,2680,2.0,0,2040,640,1942,520000.0
3,1.5,1540,2.0,0,1540,0,1941,524999.9999
3,2.5,2830,2.0,0,2830,0,2001,551000.0
5,2.25,2890,2.0,0,2890,0,1977,598000.0001
3,2.5,2660,2.0,0,2660,0,2014,599950.0
4,2.75,2820,1.0,0,1860,960,1965,614999.9999
3,2.5,1700,2.0,0,1700,0,1992,619500.0
3,2.5,2480,2.0,0,2480,0,2004,620000.0
4,2.5,3550,2.0,0,3550,0,2007,624999.9998
4,2.5,2150,2.0,0,2150,0,1982,639000.0
4,3.0,2690,1.0,0,2690,0,1954,674999.9999
3,2.25,1990,2.0,0,1990,0,1987,675000.0
4,2.5,2650,2.0,0,2650,0,2006,699000.0
4,2.5,3230,2.0,0,3230,0,2004,730000.0
3,2.5,2770,2.0,2,2770,0,1992,749950.0
6,2.0,2150,1.0,0,1270,880,1952,755000.0
4,1.75,2450,1.0,2,1630,820,1987,760000.0
4,2.25,2560,1.0,0,1760,800,1976,765000.0
4,3.5,3070,2.0,0,2190,880,2009,785000.0
4,2.75,3160,2.0,0,3160,0,2014,860000.0
4,2.25,3500,1.0,4,1830,1670,1938,879949.9999
4,2.25,2260,1.0,0,2260,0,1967,924999.9998
4,3.5,3120,2.0,0,2480,640,2008,953006.9999
4,2.75,2620,1.5,2,1720,900,1926,978000.0
3,2.0,2390,2.0,1,2390,0,1939,1100000.0
6,3.0,2880,2.0,0,2180,700,1919,1125000.0
4,3.5,4560,1.0,3,2230,2330,1995,1212500.0
4,3.5,4380,1.0,0,4380,0,2001,1300000.0
4,3.5,4460,1.0,0,2550,1910,1962,1800000.0
3,1.0,1010,1.0,0,1010,0,1966,150000.0
2,1.75,1100,1.0,0,1100,0,1980,189650.0
3,1.75,1380,1.0,0,990,390,1981,195000.0
2,1.0,1080,1.0,0,1080,0,1972,195000.0
3,1.0,1240,1.0,0,1240,0,1916,210000.0
3,1.0,1020,1.0,0,1020,0,1956,218000.0
4,2.5,2160,2.0,0,2160,0,1993,220000.0001
3,1.0,1060,1.0,2,1060,0,1956,220000.0
5,2.0,1930,1.5,0,1930,0,1941,230000.0
2,1.75,1330,1.0,0,1330,0,1993,240000.0
3,1.5,1780,1.0,0,1780,0,1953,246000.0001
2,1.0,1140,1.0,0,1140,0,1947,249900.0
3,2.0,1170,1.0,0,1170,0,1984,250000.0
3,1.5,1060,1.0,0,1060,0,1973,255000.0
3,2.5,1990,1.0,0,1570,420,1969,256750.0
6,2.0,2220,1.0,0,2220,0,1977,260000.0001
4,1.0,1310,1.5,0,1160,150,1945,266066.6667
3,1.75,1390,1.0,0,860,530,1957,270000.0001
3,2.5,2030,2.0,0,2030,0,1993,274999.9999
3,1.75,2380,1.5,0,1320,1060,1935,285000.0
3,2.25,1870,2.0,0,1870,0,1997,288400.0
