city,number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,cost rank
Kenmore,4,2.5,2040,2040,2.0,2012,3
Renton,4,2.5,2790,2790,2.0,2009,3
Woodinville,3,3.5,2876,2360,2.0,2007,3
Seattle,5,3.0,2450,2450,2.0,1994,3
Seattle,3,2.5,1580,1010,2.0,2008,3
Bellevue,3,1.75,1690,1690,1.0,1958,3
Redmond,2,2.0,1680,1680,1.0,2006,3
Seattle,7,4.0,3440,3440,2.0,1970,3
Bellevue,4,2.0,2250,1200,1.0,1956,3
Seattle,3,2.5,1490,1490,3.0,2004,3
Seattle,3,1.0,1440,1440,2.0,1910,3
Seattle,3,2.0,1530,1530,1.0,1937,3
Seattle,3,1.75,1580,1180,1.0,1951,3
Bellevue,5,2.0,2290,1190,1.0,1964,3
Redmond,4,1.75,2090,1070,1.0,1963,3
Woodinville,4,2.25,2710,2710,2.0,1977,3
Seattle,3,1.75,1680,870,1.0,1922,3
Seattle,3,1.0,1710,1710,1.5,1909,3
Seattle,3,3.5,1810,1440,2.0,2009,3
Seattle,4,2.0,2260,1430,1.0,1958,3
Bellevue,4,1.75,1950,1370,1.0,1969,3
Bellevue,3,2.5,1740,1740,2.0,1975,3
Seattle,4,2.5,2210,2210,2.0,2013,3
Sammamish,4,2.5,2740,2740,2.0,1993,3
Snoqualmie,4,3.5,3400,3400,2.0,2012,3
Seattle,3,2.0,1940,1150,1.5,1944,3
Redmond,5,3.0,3410,1870,1.0,1968,3
Newcastle,4,2.5,3000,3000,2.0,2006,3
Bellevue,3,2.5,2030,2030,2.0,1975,4
Issaquah,3,3.25,3190,3190,2.0,2007,4
Issaquah,3,3.25,3610,2440,2.0,2003,4
Mercer Island,3,1.75,2340,2340,1.0,1967,4
Seattle,6,3.0,2890,2290,2.5,1906,4
Redmond,5,2.75,3150,3150,2.0,2013,4
Bellevue,4,2.5,3560,2290,1.0,1986,4
Seattle,4,2.5,3520,2650,2.5,2006,4
Bellevue,4,2.5,3490,3490,2.0,2000,4
Sammamish,4,3.25,4400,4400,2.0,2003,4
Mercer Island,5,4.25,3530,3530,2.0,2001,4
Mercer Island,5,3.25,4860,3820,2.0,1989,4
Auburn,3,1.0,1100,1100,1.0,1978,1
Renton,2,1.0,700,700,1.0,1952,1
Kent,3,1.0,860,860,1.0,1963,1
Des Moines,2,1.0,1170,1170,1.0,1911,1
Tukwila,2,1.0,1240,1240,1.0,1967,1
Auburn,3,1.75,1340,1340,1.0,1973,1
Auburn,4,2.0,1630,1050,1.0,1975,1
Covington,4,2.5,2230,2230,2.0,2006,1
Auburn,3,2.0,1850,1150,1.0,1952,1
Auburn,3,2.0,1570,1570,1.0,1998,1
Kent,3,2.5,1780,1400,1.0,1986,1
Shoreline,2,1.0,700,700,1.0,1949,1
Seattle,3,1.0,1260,1260,1.0,1946,2
Renton,3,1.75,2110,2110,2.0,1966,2
Seattle,3,1.5,1220,1220,3.0,2007,2
Shoreline,3,1.0,1480,1480,1.0,1952,2
Kenmore,3,1.0,1050,1050,1.0,1953,2
Auburn,4,2.5,2010,2010,2.0,1995,2
Maple Valley,3,2.5,1840,1840,2.0,2012,2
Kent,3,2.5,2220,2220,2.0,1990,2
Seattle,5,2.0,1700,1000,1.0,1956,2
Seattle,3,1.0,1050,1050,1.5,1906,2
Renton,3,2.25,1970,1970,2.0,1997,2
Renton,3,2.25,2120,2120,2.0,1984,2
SeaTac,5,3.0,2257,1363,1.0,2005,2
Tukwila,3,3.5,2100,2100,2.0,1980,2
Shoreline,4,1.75,2010,1340,1.0,1957,2
Seattle,3,1.0,1290,980,1.0,1951,2
Issaquah,3,2.5,1690,1150,2.0,2014,2
Seattle,4,1.75,1620,860,1.0,1947,2
Auburn,4,2.5,3040,3040,2.0,1999,2
Renton,3,2.75,2580,2580,2.0,2008,2
Federal Way,3,2.5,2910,2910,2.0,1989,2
Seattle,3,1.0,1660,1060,1.0,1940,2
Duvall,4,2.5,2310,2310,2.0,1991,2
Fall City,4,2.5,2150,1420,1.0,1978,2
Kirkland,3,2.75,1850,1850,1.5,1965,2
Kirkland,4,2.75,2270,1290,1.0,1973,2
Ravensdale,3,2.0,2090,2090,1.5,1959,2
Sammamish,3,1.75,2170,1450,1.0,1986,3
Kenmore,3,2.5,1820,1820,2.0,2005,3
Seattle,3,1.75,1600,1600,1.5,1924,3
Normandy Park,4,2.75,2450,2450,1.0,1974,3
Bellevue,4,1.75,1900,950,1.0,1955,3
Issaquah,2,2.0,2370,1600,1.5,1992,3
Shoreline,3,2.5,2090,1360,1.0,1962,3
Seattle,3,1.75,2000,1110,1.0,1921,3
Bellevue,3,1.5,1830,1830,1.0,1957,3
Newcastle,4,2.5,2240,2240,2.0,1989,3
Seattle,5,1.75,2220,1420,1.5,1923,3
Seattle,5,2.5,2540,1760,2.0,1929,3
Redmond,4,2.75,1680,1680,1.0,1966,3
Redmond,4,2.5,2470,2470,2.0,1993,3
Seattle,3,1.75,1830,1830,1.5,1903,3
Seattle,3,1.5,2360,1930,2.0,1926,4
Sammamish,4,3.25,3200,3200,2.0,2004,4
Seattle,4,2.25,2060,1360,1.0,1941,4
Issaquah,4,2.5,2700,2700,2.0,2004,4
Federal Way,5,5.0,5774,4490,1.0,1984,4
Kirkland,4,2.5,3430,3430,2.0,2000,4
Woodinville,3,2.5,3030,3030,1.5,1992,4
Issaquah,3,2.75,2470,2470,2.0,2007,4
Redmond,3,2.5,2580,2580,2.0,1986,4
Mercer Island,4,2.5,2190,2190,2.5,1958,4
Shoreline,3,2.5,3100,3100,1.0,1954,4
Bellevue,4,2.5,3320,3320,2.0,1995,4
Mercer Island,5,2.25,2510,2510,2.0,1972,4
Sammamish,5,4.5,3810,3810,2.0,2008,4
Woodinville,4,2.25,4470,4470,2.0,1988,4
Sammamish,4,3.5,4910,3110,1.5,2007,4
Seattle,3,1.0,1040,1040,1.0,1959,1
Covington,3,1.0,1060,1060,1.0,1970,1
Seattle,3,1.0,1150,1150,1.0,1932,1
Federal Way,3,1.0,1090,1090,1.0,1967,1
Seattle,3,1.0,980,980,1.5,1903,1
Auburn,4,2.0,1670,1670,1.0,1967,1
Maple Valley,3,1.0,1160,1160,1.0,1969,1
Renton,3,2.0,1400,1150,1.0,1979,1
Shoreline,3,2.0,1400,700,1.0,1948,1
Kent,3,1.75,1490,1490,1.0,1990,1
Renton,3,1.0,1230,1230,1.0,1957,1
Renton,3,2.0,1650,1160,1.0,1979,1
Federal Way,4,2.5,2070,2070,2.0,1989,1
Federal Way,3,2.5,1690,1690,2.0,2003,1
Federal Way,3,2.25,1590,1590,2.0,1991,1
Renton,3,1.0,1010,1010,1.0,1969,1
Seattle,4,2.5,1840,1400,2.0,2004,1
North Bend,3,1.0,1330,1330,1.5,1959,1
Seattle,3,1.5,850,850,1.0,1986,1
Shoreline,3,1.0,1220,1220,1.0,1955,2
Seattle,3,2.0,1510,1230,1.0,1973,2
Renton,4,1.75,2020,1010,1.0,1963,2
Seattle,3,2.25,1490,1220,2.0,2009,2
Seattle,2,1.0,880,880,1.0,1919,2
Kent,4,2.5,2150,2150,2.0,1991,2
Seattle,3,1.75,1960,980,1.0,1948,2
Kenmore,3,2.25,1180,1180,2.0,1986,2
Seattle,4,1.75,2290,1340,1.0,1960,2
Seattle,3,2.5,1232,1232,3.0,2007,2
Renton,3,2.5,1700,1700,2.0,1994,2
Seattle,3,1.0,1400,1400,1.0,1957,2
Auburn,4,2.5,2710,2710,2.0,1998,2
Shoreline,4,1.75,1890,1250,1.0,1960,2
Redmond,3,2.5,1720,1720,2.0,2010,2
Kenmore,3,2.5,2240,2240,2.0,1996,2
Bellevue,3,1.5,1120,1120,1.0,1955,2
Shoreline,3,1.0,1630,1630,1.0,1953,2
Redmond,3,1.5,1490,1490,1.0,1963,2
Bellevue,3,1.5,1340,1340,1.0,1956,2
Kirkland,4,1.75,1880,1010,1.0,1976,2
Seattle,2,1.0,1320,1320,1.0,1912,2
Kirkland,3,2.5,1870,1470,1.0,1980,2
Seattle,3,1.75,1410,1410,1.0,1924,2
Bellevue,3,1.5,1260,1260,1.0,1959,2
Seattle,3,1.0,1660,1000,1.0,1946,2
Seattle,7,3.5,2870,1520,1.0,1961,2
Seattle,4,2.0,2050,1210,1.5,1941,2
Seattle,4,2.5,2240,2240,2.0,1995,2
Seattle,3,2.5,1840,1840,2.0,1997,3
Woodinville,3,2.5,2700,2700,2.0,1991,3
Sammamish,3,2.0,1640,1640,1.0,1977,3
Redmond,3,2.25,1980,1980,1.0,1980,3
Lake Forest Park,4,2.5,3020,1600,1.0,1979,3
Seattle,2,1.0,1490,1090,1.0,1946,3
Seattle,3,2.5,2360,2360,2.0,1996,3
Sammamish,4,2.75,2550,1440,1.0,1986,3
Seattle,5,1.75,2000,2000,2.0,1921,3
Sammamish,4,2.5,2240,2240,1.0,1983,3
Seattle,4,2.0,1550,1550,1.5,1909,3
Issaquah,4,2.5,2680,2680,2.0,1989,3
Seattle,4,2.0,2560,1890,1.0,1947,3
Issaquah,4,3.25,2740,2060,2.0,2003,3
Sammamish,3,2.5,4560,3800,2.0,1986,3
Sammamish,4,3.0,3150,3150,2.0,2001,3
Redmond,4,2.5,3240,3240,2.0,1985,4
Issaquah,5,3.75,3580,3190,2.0,1999,4
Redmond,4,2.5,3310,3310,2.0,2004,4
Newcastle,5,2.75,3030,3030,2.0,2013,4
Issaquah,4,3.5,3930,2820,2.0,2013,4
Seattle,4,1.75,2930,1670,1.0,1947,4
Sammamish,4,2.5,3950,3950,3.0,2013,4
Bellevue,5,4.25,3920,2900,2.0,1990,4
Woodinville,4,3.25,3740,2000,1.0,1988,4
Seattle,4,2.5,3200,3200,2.0,2006,4
Des Moines,2,1.0,1010,1010,1.0,1955,1
Seattle,3,1.0,1000,1000,1.0,1940,1
Covington,5,1.75,1730,1050,1.0,1978,1
Seattle,3,2.0,1020,720,2.0,2004,1
Federal Way,4,2.25,1860,1120,1.0,1979,1
Tukwila,5,1.0,1460,1460,2.0,1941,1
Seattle,2,1.0,870,870,1.0,1941,1
Federal Way,4,3.5,1850,1130,2.0,1986,1
Kent,3,2.25,1440,940,1.0,1982,1
Maple Valley,3,2.0,1900,950,1.0,1966,1
Kent,2,1.5,1070,1070,1.0,1985,1
Seattle,4,2.0,1510,1510,1.0,1955,1
North Bend,3,2.5,1480,1480,2.0,1987,1
Shoreline,2,1.0,830,830,1.0,1954,1
Kent,3,2.5,1870,1870,2.0,2005,2
Federal Way,3,2.25,2060,1560,1.0,1978,2
Maple Valley,4,2.5,2340,2340,2.0,2003,2
Renton,3,2.0,1760,1060,1.0,1977,2
Seattle,3,1.0,1250,1250,1.0,1951,2
Bellevue,3,1.5,1170,1170,1.0,1960,2
Seattle,3,2.5,1480,1180,2.0,2012,2
Seattle,3,1.0,1260,720,1.0,1944,2
Renton,4,1.0,1980,1980,1.5,1962,2
Maple Valley,4,2.5,2440,2440,2.0,2009,2
Kirkland,4,1.5,1370,900,1.0,1972,2
Des Moines,4,2.5,2790,2790,2.0,2005,2
Seattle,3,1.5,1100,940,2.0,2007,2
Issaquah,3,2.25,1410,1290,2.0,2005,2
Shoreline,3,3.25,1860,1860,3.0,2007,2
Sammamish,3,1.75,1180,940,1.0,1981,2
Kent,3,2.5,2740,2740,2.0,1973,2
Seattle,3,2.5,1800,1800,2.0,1990,2
Kent,3,2.5,2670,2670,1.0,1988,2
Renton,4,2.5,2280,2280,2.0,2001,2
North Bend,3,2.5,2320,2320,2.0,1992,2
Seattle,3,1.75,2150,1200,1.0,1956,2
Kenmore,3,3.0,1970,1970,1.0,2010,2
Woodinville,3,2.25,1990,1990,2.0,1984,2
Kirkland,4,2.25,2270,1290,1.0,1977,2
Seattle,3,1.75,1560,1000,1.5,1926,2
Snoqualmie,4,2.5,2430,2430,2.0,2009,2
Seattle,3,2.0,1450,1450,1.5,1900,2
Snoqualmie,3,2.5,2370,2370,2.0,2003,3
Seattle,3,1.5,1260,1260,1.5,1931,3
Seattle,1,1.0,1140,1140,1.5,1920,3
Bothell,2,2.0,2260,2260,1.0,1990,3
Seattle,3,2.25,1520,1520,3.0,2013,3
Seattle,4,2.5,2110,2110,2.0,2000,3
Issaquah,3,2.5,2134,2134,2.5,2008,3
Snoqualmie,3,2.5,2720,2720,2.0,2005,3
Issaquah,3,2.5,2170,2170,2.0,2003,3
Seattle,3,2.25,1720,1450,1.5,1921,3
Sammamish,4,2.5,3160,3160,2.0,1983,3
Snoqualmie,5,2.5,3200,3200,2.0,2009,3
Seattle,2,1.0,2020,1700,1.0,1947,4
Seattle,3,2.0,2050,1180,1.0,1926,4
Redmond,5,2.75,2830,2830,2.0,2006,4
Issaquah,4,2.5,3120,3120,2.0,2003,4
Seattle,3,2.0,2180,1100,1.0,1904,4
Seattle,4,3.25,3120,2370,2.0,2005,4
Sammamish,5,1.5,3360,3360,2.0,2014,4
Woodinville,4,2.75,3280,3280,2.0,1996,4
Seattle,3,2.0,2220,1220,1.0,1947,4
Bellevue,4,3.0,5520,3570,2.0,2008,4
Mercer Island,5,4.25,6490,3940,2.0,1991,4
Seattle,3,2.0,1700,890,1.0,1944,2
Enumclaw,5,2.5,1970,1970,2.0,1994,1
Snoqualmie,3,2.25,1410,1170,1.0,1987,2
Renton,3,2.5,2480,2480,2.0,1986,2
Seattle,2,2.0,1360,780,1.0,1944,2
Woodinville,3,2.5,2130,1210,1.0,1994,3
Redmond,4,2.5,2060,1440,1.0,1985,3
Bellevue,3,2.0,1940,1940,1.0,1954,4
SeaTac,2,1.0,680,680,1.0,1941,1
Seattle,3,1.0,950,950,1.0,1954,1
Renton,2,1.0,930,930,1.0,1942,1
Renton,2,1.0,910,910,1.0,1981,1
Seattle,3,1.5,2200,2200,1.5,1932,1
Seattle,3,1.0,1080,1080,1.0,1942,1
Renton,2,2.25,1610,1610,2.0,1979,1
Kent,3,1.0,970,970,1.0,1970,1
Maple Valley,2,2.0,1470,1470,2.0,2005,1
Federal Way,3,2.25,1580,1580,2.0,1986,1
Des Moines,4,1.5,1310,1060,1.0,1953,1
Vashon,2,1.0,1120,1120,1.0,1980,1
Issaquah,4,1.75,2420,1480,1.0,1979,1
Renton,3,2.5,1720,1720,2.0,2005,1
North Bend,3,2.5,1270,1270,2.0,1993,1
Seattle,4,1.75,2080,1040,1.0,1955,1
Kirkland,1,1.5,810,810,2.0,1982,1
Renton,5,1.5,2120,2120,1.5,1962,1
Kent,4,2.5,1700,1700,2.0,1988,1
Kent,3,2.75,2170,1380,1.0,1978,1
Federal Way,5,3.0,2100,1200,1.0,2007,1
Renton,3,1.75,1610,1610,1.0,1981,2
Carnation,3,1.0,1370,1370,1.0,1960,2
Renton,4,1.75,2310,1650,1.0,1976,2
Federal Way,3,2.5,2680,2680,2.0,1990,2
Seattle,4,2.0,1580,1580,2.0,1906,2
Maple Valley,4,2.5,1830,1830,2.0,2003,2
Bellevue,3,2.25,1640,1640,2.0,1985,2
Shoreline,4,2.75,2070,1120,1.0,1945,2
Seattle,2,1.5,1660,830,1.0,1908,2
Woodinville,3,2.5,1670,1670,2.0,1999,2
Issaquah,3,2.5,1690,1150,2.0,2014,2
Auburn,4,2.5,2490,2490,2.0,1999,2
Seattle,4,2.75,2500,2500,2.0,1966,2
North Bend,3,2.5,1920,1920,2.0,1995,2
Seattle,3,2.5,2200,2200,2.0,2009,2
Seattle,2,1.5,1010,1010,1.5,1906,2
Renton,3,1.75,1800,1800,1.0,1967,2
Kenmore,5,2.75,2190,1370,1.0,1978,2
Seattle,3,1.5,1710,1410,1.5,1928,2
Bellevue,5,1.75,1250,1250,1.0,1966,2
Woodinville,3,1.75,1630,1630,1.0,1967,2
Shoreline,4,2.5,3060,1700,1.0,1968,2
Seattle,2,1.0,1490,860,1.0,1929,2
Seattle,3,2.5,1350,1350,3.0,2005,2
Seattle,3,2.25,1450,980,2.0,2005,2
Des Moines,3,1.75,2200,2200,2.0,1908,2
Seattle,3,1.0,1500,1370,1.5,1926,2
Seattle,2,2.25,1260,1260,3.0,2004,2
Seattle,4,2.0,1690,1550,1.5,1901,2
Seattle,3,2.5,1680,1380,2.0,2008,3
Seattle,3,1.75,1890,1290,1.0,1974,3
Kirkland,3,3.5,2320,2060,2.0,1997,3
Seattle,4,1.0,1660,1260,1.5,1945,3
Issaquah,4,2.25,2110,2110,2.0,1979,3
Newcastle,3,2.25,2030,1500,1.0,1984,3
Snoqualmie,4,2.5,2500,2500,2.0,2013,3
Redmond,3,2.25,2030,1190,1.0,1977,3
Redmond,5,1.75,3290,3290,1.5,1973,3
Redmond,4,2.5,2460,2460,2.0,1998,3
Woodinville,4,2.5,3430,3430,2.0,2013,3
Seattle,3,2.0,1610,1610,1.5,1940,3
Bellevue,4,3.25,5010,5010,2.0,1988,3
Seattle,3,1.75,2010,1230,1.0,1912,4
Redmond,4,2.5,2660,2660,2.0,1993,4
Seattle,5,2.0,3370,2140,1.5,1907,4
Woodinville,4,2.5,3480,3480,2.0,1988,4
Redmond,2,2.5,2380,2380,1.0,2011,4
Seattle,4,3.5,2640,2640,2.0,1937,4
Issaquah,5,3.25,4180,2880,2.0,1979,4
Seattle,4,2.75,2730,1550,1.5,1921,4
Shoreline,2,1.75,2430,2430,1.0,1951,4
Bellevue,4,2.5,3190,1680,1.0,1967,4
Bellevue,4,3.5,3410,3410,2.0,2008,4
Federal Way,3,1.75,1140,1140,1.0,1969,1
Seattle,2,1.0,950,950,1.0,1926,1
Seattle,1,1.0,820,760,1.0,2007,1
Renton,3,1.0,1050,1050,1.0,1967,1
Auburn,4,2.0,1700,1700,1.0,1978,1
Federal Way,3,1.5,1650,1090,1.0,1967,1
Seattle,2,1.0,1770,960,1.5,1943,1
Kent,4,1.5,2500,1500,1.0,1961,1
Kent,4,2.0,1960,1160,1.0,1978,1
Renton,3,1.0,1320,1320,1.0,1957,1
Federal Way,4,2.5,1990,1990,2.0,1989,1
Kent,3,1.75,1570,1570,2.0,1982,1
Shoreline,2,1.0,790,790,1.0,1953,1
Kent,4,2.5,1860,1220,1.0,1983,1
Seattle,2,1.0,870,870,1.5,1906,1
Covington,3,2.5,2090,2090,2.0,2002,1
Seattle,3,1.75,1560,1560,1.0,1964,1
Shoreline,3,1.0,910,740,1.0,1950,1
Auburn,6,5.25,2860,2860,2.0,1978,2
Renton,3,1.0,2120,1060,1.0,1967,2
Redmond,3,1.0,1090,1090,1.0,1955,2
Seattle,2,2.5,1590,1220,2.0,2009,2
Seattle,3,1.0,1092,1092,1.5,1918,2
Auburn,3,2.25,1400,1140,1.0,1987,2
Redmond,2,1.0,790,790,1.0,1955,2
Renton,3,1.75,1280,1280,1.0,1969,2
Renton,3,1.75,1480,1480,1.0,1965,2
Kirkland,4,2.25,1870,1170,1.0,1959,2
Renton,6,3.0,1880,1880,1.0,1966,2
Seattle,4,2.5,1600,830,1.0,1947,2
Maple Valley,3,2.5,2170,2170,2.0,2004,2
Auburn,4,2.5,2303,2303,2.0,2013,2
Issaquah,3,1.0,1180,1180,1.0,1959,2
Seattle,2,1.0,860,860,1.0,1948,2
Kenmore,3,1.0,1060,1060,1.0,1967,2
Bellevue,3,1.5,1240,1240,1.0,1954,2
Seattle,5,3.5,2800,2800,2.5,1903,2
Maple Valley,4,2.25,2220,2220,2.0,1999,2
Shoreline,4,1.75,1590,1590,2.0,1922,2
Seattle,2,1.0,1150,1150,1.0,1947,2
Maple Valley,4,3.0,2800,2800,2.0,2002,2
Seattle,3,1.75,1690,1380,2.0,2008,2
Snoqualmie,3,2.5,1700,1700,2.0,2003,2
Kenmore,3,1.5,1490,1490,1.0,1959,2
Seattle,2,2.25,1230,960,2.0,2012,2
Seattle,4,1.0,1320,1320,1.5,1929,2
Renton,4,2.25,1770,1190,1.0,1965,2
Seattle,3,1.5,1080,1080,1.5,1920,2
Seattle,2,1.0,1730,1730,2.0,1945,2
Renton,5,2.5,2430,2430,2.0,2001,2
Snoqualmie,3,2.5,1800,1800,2.0,2014,2
Seattle,3,2.25,1970,1680,2.0,2008,2
Seattle,4,1.75,1940,970,1.0,1941,2
Maple Valley,4,2.5,2800,2800,2.0,2004,2
Seattle,3,1.75,1200,1200,1.0,1906,2
Duvall,3,2.0,2010,1510,2.0,2003,2
Seattle,3,1.5,1270,1270,3.0,2007,2
Seattle,2,1.75,1300,1300,2.0,1948,2
Woodinville,3,1.5,2060,2060,1.0,1953,2
Seattle,4,1.0,1210,1210,1.5,1900,2
Woodinville,1,2.25,2140,1470,1.0,1976,2
Seattle,3,2.25,1270,1040,2.0,2005,2
Seattle,4,1.75,1650,1150,1.0,1950,2
Seattle,4,2.75,2050,1180,1.0,1986,2
Seattle,2,1.75,1480,840,1.0,1951,2
Seattle,5,3.5,4460,3280,3.0,2013,2
Seattle,3,1.0,1910,1010,1.0,1946,2
Seattle,4,1.75,2090,1250,1.5,1925,2
Renton,5,3.5,3200,3200,2.0,1989,2
Bellevue,3,2.0,2020,1020,1.0,1963,3
Renton,4,2.5,2670,2670,2.0,2006,3
Redmond,4,2.0,1820,1820,1.0,1967,3
Seattle,4,3.5,2680,2040,2.0,1942,3
Seattle,3,1.5,1540,1540,2.0,1941,3
Kenmore,3,2.5,2830,2830,2.0,2001,3
Sammamish,5,2.25,2890,2890,2.0,1977,3
Seattle,3,2.5,2660,2660,2.0,2014,3
Bellevue,4,2.75,2820,1860,1.0,1965,3
Seattle,3,2.5,1700,1700,2.0,1992,3
Redmond,3,2.5,2480,2480,2.0,2004,3
Snoqualmie,4,2.5,3550,3550,2.0,2007,3
Redmond,4,2.5,2150,2150,2.0,1982,3
Normandy Park,4,3.0,2690,2690,1.0,1954,3
Redmond,3,2.25,1990,1990,2.0,1987,3
Seattle,4,2.5,2650,2650,2.0,2006,3
Sammamish,4,2.5,3230,3230,2.0,2004,4
Bellevue,3,2.5,2770,2770,2.0,1992,4
Seattle,6,2.0,2150,1270,1.0,1952,4
Bellevue,4,1.75,2450,1630,1.0,1987,4
Redmond,4,2.25,2560,1760,1.0,1976,4
Issaquah,4,3.5,3070,2190,2.0,2009,4
Kirkland,4,2.75,3160,3160,2.0,2014,4
Seattle,4,2.25,3500,1830,1.0,1938,4
Kirkland,4,2.25,2260,2260,1.0,1967,4
Seattle,4,3.5,3120,2480,2.0,2008,4
Seattle,4,2.75,2620,1720,1.5,1926,4
Seattle,3,2.0,2390,2390,2.0,1939,4
Seattle,6,3.0,2880,2180,2.0,1919,4
Bellevue,4,3.5,4560,2230,1.0,1995,4
Redmond,4,3.5,4380,4380,1.0,2001,4
Medina,4,3.5,4460,2550,1.0,1962,4
Carnation,3,1.0,1010,1010,1.0,1966,1
Des Moines,2,1.75,1100,1100,1.0,1980,1
Covington,3,1.75,1380,990,1.0,1981,1
Des Moines,2,1.0,1080,1080,1.0,1972,1
Seattle,3,1.0,1240,1240,1.0,1916,1
Seattle,3,1.0,1020,1020,1.0,1956,1
Pacific,4,2.5,2160,2160,2.0,1993,1
Enumclaw,3,1.0,1060,1060,1.0,1956,1
Seattle,5,2.0,1930,1930,1.5,1941,1
SeaTac,2,1.75,1330,1330,1.0,1993,1
Seattle,3,1.5,1780,1780,1.0,1953,1
Seattle,2,1.0,1140,1140,1.0,1947,1
Auburn,3,2.0,1170,1170,1.0,1984,1
Renton,3,1.5,1060,1060,1.0,1973,1
Kent,3,2.5,1990,1570,1.0,1969,1
Auburn,6,2.0,2220,2220,1.0,1977,1
Seattle,4,1.0,1310,1160,1.5,1945,1
Seattle,3,1.75,1390,860,1.0,1957,1
Maple Valley,3,2.5,2030,2030,2.0,1993,1
Seattle,3,1.75,2380,1320,1.5,1935,1
Renton,3,2.25,1870,1870,2.0,1997,1
Seattle,2,1.0,790,790,1.0,1925,1
Auburn,3,2.5,2720,2720,2.0,2002,1
Seattle,2,1.0,970,970,1.0,1949,2
Federal Way,4,2.25,2000,2000,1.0,1978,2
Seattle,3,1.0,990,990,1.0,1947,2
Woodinville,3,1.0,1250,1250,1.0,1969,2
Maple Valley,3,2.25,1800,1800,2.0,1995,2
Seattle,4,2.5,2220,2220,2.0,2014,2
Renton,4,2.75,1800,1050,1.0,2002,2
Kirkland,3,1.5,980,980,1.0,1969,2
Seattle,3,2.5,1530,1530,3.0,2009,2
Sammamish,3,2.5,2150,2150,2.0,1988,2
Kirkland,3,1.75,2000,2000,1.0,1961,2
Bothell,3,2.0,1540,1120,1.0,1961,2
Issaquah,3,2.25,1445,1300,2.0,2003,2
Issaquah,3,1.75,1540,1540,1.0,1967,2
Des Moines,3,1.75,2470,1570,1.0,1962,2
Redmond,3,2.0,1440,1440,1.0,2007,2
Carnation,1,1.0,960,960,1.0,1945,2
Shoreline,3,2.75,2550,2550,2.0,1994,2
Seattle,3,1.0,1150,1150,1.0,1906,2
Sammamish,4,2.25,2080,1220,1.0,1979,2
Seattle,2,1.0,1200,1070,1.0,1940,2
Seattle,4,2.0,1660,850,1.0,1945,2
Seattle,4,2.0,1790,840,1.0,1909,2
Seattle,3,3.5,2380,1670,2.0,1997,2
Kirkland,3,2.5,1900,1900,2.0,1990,3
Kenmore,4,2.5,3290,3290,2.0,1992,3
Snoqualmie Pass,3,2.75,2100,1510,2.0,1998,3
Seattle,3,1.0,1450,950,1.0,1948,3
Issaquah,4,2.5,1900,1900,2.0,1994,3
Redmond,3,1.75,1300,1300,1.0,1983,3
Kirkland,3,2.25,2020,2020,2.0,1998,3
Issaquah,3,3.0,1960,1600,2.0,2007,3
Kirkland,3,2.5,2540,2540,2.0,1999,3
Snoqualmie,4,2.5,2910,2910,2.0,1998,3
Bellevue,3,2.25,2230,2230,2.0,1987,3
Kirkland,4,2.5,2360,2360,2.0,2001,3
Newcastle,4,2.75,2450,2450,2.0,1988,3
Woodinville,4,2.5,2630,2630,2.0,1986,3
Seattle,4,2.25,2750,1500,1.0,1948,3
Kirkland,4,3.5,2350,1670,2.0,1994,3
Shoreline,4,2.5,2340,1590,1.0,1964,3
Kirkland,4,2.75,2550,1700,1.0,1972,3
Redmond,4,2.5,3010,3010,2.0,1996,3
Seattle,4,3.25,2780,2780,2.0,2006,4
Seattle,3,2.5,2020,2020,3.0,2000,4
Sammamish,4,2.75,2830,2830,2.0,1998,4
Redmond,4,2.75,3488,3488,2.0,1998,4
Mercer Island,5,3.0,2876,1970,1.0,1973,4
Issaquah,5,3.75,5330,3570,2.0,2006,4
Shoreline,4,3.25,2790,1130,1.0,1963,4
Bellevue,5,4.0,4850,4850,2.0,1977,4
Seattle,4,2.75,2290,2170,2.0,1926,4
Kirkland,3,4.0,3880,3700,2.0,2009,4
Kirkland,4,3.25,3810,2680,1.0,2007,4
Bellevue,3,2.25,2760,2760,2.0,1978,4
Kirkland,3,2.5,4460,4460,2.0,1992,4
Seattle,2,1.0,820,820,1.0,1954,1
Seattle,2,2.5,1160,1160,2.0,1998,1
SeaTac,4,1.5,1740,1020,1.0,1962,1
Renton,2,1.0,1400,900,1.0,1922,1
Covington,3,1.0,870,870,1.0,1969,1
Seattle,3,1.0,910,910,1.0,1956,1
Seattle,2,1.0,740,740,1.0,1938,1
Federal Way,4,2.25,1720,1720,1.0,1973,1
Federal Way,4,2.0,1580,1040,1.0,1967,1
Burien,2,1.0,940,940,1.0,1959,1
Auburn,4,2.75,2570,1720,2.0,1998,1
Auburn,3,2.5,1550,1550,2.0,2011,1
Seattle,2,1.5,840,840,2.0,2005,1
Enumclaw,1,0.75,1170,880,1.0,1962,1
North Bend,4,2.0,980,980,1.0,1978,1
Seattle,5,2.5,2760,2760,2.0,2006,2
Renton,6,2.0,2040,2040,1.0,1943,2
Seattle,4,1.75,2200,1400,1.5,1942,2
Duvall,3,1.5,2320,2320,1.0,1976,2
Seattle,2,1.0,1070,1070,1.0,1949,2
North Bend,3,2.0,1110,1110,1.0,1978,2
